ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,HUASTEC,hva,"I",1209,1,in,1,also: nana7,
2,1-6,TOJOLABAL,toj,"I",1209,1,ken,6,also: kena,
3,1-1,CHUJ,cnm,"I",1209,1,in,1,,
4,1-1,JACALTEC,jai,"I",1209,1,haninan,1,,
5,1-2,QANJOBAL_SANTA_EULALIA,kjb,"I",1209,1,ayinti,2,,
6,1-1,ACATECO_SAN_MIGUEL_ACATAN,knj,"I",1209,1,hain,1,,
7,1-1,IXIL_CHAJUL,ixj,"I",1209,1,in,1,,
8,1-1,AGUACATEC,agu,"I",1209,1,in,1,,
9,1-3,TECO_TECTITAN,ttc,"I",1209,1,a7in,3,,
10,1-2,MAM_NORTHERN,mam,"I",1209,1,ayine,2,,
11,1-1,SIPAKAPENSE,qum,"I",1209,1,in,1,,
12,1-3,SACAPULTECO_SACAPULAS_CENTRO,quv,"I",1209,1,ra7in,3,,
13,1-1,CENTRAL_QUICHE,quc,"I",1209,1,in,1,,
14,1-2,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,ckf,"I",1209,1,yin,2,,
15,1-1,TZUTUJIL_SAN_JUAN_LA_LAGUNA,tzj,"I",1209,1,inin,1,,
16,1-4,POQOMCHI_WESTERN,pob,"I",1209,1,hin,4,,
17,1-4,POCOMAM_EASTERN,poa,"I",1209,1,hin,4,,
18,1-1,USPANTEKO,usp,"I",1209,1,in,1,,
19,1-3,EASTERN_KEKCHI_CAHABON,kek,"I",1209,1,ha7in,3,,
20,1-5,TZELTAL_BACHAJON,tzb,"I",1209,1,ho7on,5,,
21,1-5,CHOL_TUMBALA,ctu,"I",1209,1,ho5on,5,,
22,1-1,CHORTI,caa,"I",1209,1,en,1,,
23,1-1,ITZAJ,itz,"I",1209,1,ten,1,,
24,1-1,MOPAN,mop,"I",1209,1,innen,1,,
25,1-1,MAYA_YUCATAN,yua,"I",1209,1,en,1,,
26,2-1,HUASTEC,hva,"you",1213,2,it,1,also: ata7,
27,2-3,TOJOLABAL,toj,"you",1213,2,wen,3,also: wena,
28,2-1,CHUJ,cnm,"you",1213,2,aC,1,also: eStik,
29,2-1,JACALTEC,jai,"you",1213,2,haC,1,also: heS,
30,2-1,QANJOBAL_SANTA_EULALIA,kjb,"you",1213,2,aCti,1,,
31,2-1,ACATECO_SAN_MIGUEL_ACATAN,knj,"you",1213,2,haCti7,1,,
32,2-4,IXIL_CHAJUL,ixj,"you",1213,2,ah,4,,
33,2-5,AGUACATEC,agu,"you",1213,2,aS,5,also: e7u7,
34,2-6,TECO_TECTITAN,ttc,"you",1213,2,a7iC,6,,
35,2-7,MAM_NORTHERN,mam,"you",1213,2,aya,7,also: aqye,
36,2-1,SIPAKAPENSE,qum,"you",1213,2,at,1,,
37,2-2,SACAPULTECO_SACAPULAS_CENTRO,quv,"you",1213,2,ra7at,2,,
38,2-1,CENTRAL_QUICHE,quc,"you",1213,2,at,1,,
39,2-2,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,ckf,"you",1213,2,rat,2,,
40,2-1,TZUTUJIL_SAN_JUAN_LA_LAGUNA,tzj,"you",1213,2,atet,1,,
41,2-1,POQOMCHI_WESTERN,pob,"you",1213,2,hat,1,,
42,2-1,POCOMAM_EASTERN,poa,"you",1213,2,hat,1,,
43,2-1,USPANTEKO,usp,"you",1213,2,at,1,,
44,2-1,EASTERN_KEKCHI_CAHABON,kek,"you",1213,2,ha7at,1,,
45,2-1,ZINACANTAN_TZOTZIL,tzz,"you",1213,2,vot,1,also: voSuk,
46,2-1,TZELTAL_BACHAJON,tzb,"you",1213,2,ha7at,1,,
47,2-1,CHOL_TUMBALA,ctu,"you",1213,2,hatet,1,,
48,2-8,CHONTAL_TABASCO,chf,"you",1213,2,ane,8,,
49,2-9,CHORTI,caa,"you",1213,2,et,9,also: noS,
50,2-10,ITZAJ,itz,"you",1213,2,teC,10,,
51,2-11,MOPAN,mop,"you",1213,2,inCeC,11,,
52,2-1,MAYA_YUCATAN,yua,"you",1213,2,eC,1,also: aw,
53,3-6,HUASTEC,hva,"we",1212,3,wawa7,6,,
54,3-7,TOJOLABAL,toj,"we",1212,3,kent~ik,7,,
55,3-1,CHUJ,cnm,"we",1212,3,oN,1,,
56,3-8,JACALTEC,jai,"we",1212,3,haNoNaN,8,,
57,3-4,QANJOBAL_SANTA_EULALIA,kjb,"we",1212,3,aonti,4,also: ayonti,
58,3-4,ACATECO_SAN_MIGUEL_ACATAN,knj,"we",1212,3,heonti7,4,also: haonti7,
59,3-3,IXIL_CHAJUL,ixj,"we",1212,3,o7,3,,
60,3-3,AGUACATEC,agu,"we",1212,3,o7,3,,
61,3-3,TECO_TECTITAN,ttc,"we",1212,3,a7o7,3,,
62,3-3,MAM_NORTHERN,mam,"we",1212,3,qo7,3,,
63,3-1,SIPAKAPENSE,qum,"we",1212,3,ox,1,,
64,3-2,SACAPULTECO_SACAPULAS_CENTRO,quv,"we",1212,3,ra7ox,2,,
65,3-1,CENTRAL_QUICHE,quc,"we",1212,3,ux,1,,
66,3-2,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,ckf,"we",1212,3,rox,2,,
67,3-1,TZUTUJIL_SAN_JUAN_LA_LAGUNA,tzj,"we",1212,3,oxox,1,,
68,3-1,POQOMCHI_WESTERN,pob,"we",1212,3,hox,1,,
69,3-1,POCOMAM_EASTERN,poa,"we",1212,3,qox,1,,
70,3-1,USPANTEKO,usp,"we",1212,3,ox,1,,
71,3-1,EASTERN_KEKCHI_CAHABON,kek,"we",1212,3,ha7o,1,,
72,3-5,ZINACANTAN_TZOTZIL,tzz,"we",1212,3,votikotik,5,,
