ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,Bali,ban,"hand",1277,1,lima,1,l i m a,limə 1
2,10-1,Bali,ban,"dirty",1230,10,daki,1,d a k i,
3,103-31,Bali,ban,"meat/flesh",634,103,isi,31,i s i,
4,105-1,Bali,ban,"tail",1220,105,ikut,1,i k u t,
5,107-23,Bali,ban,"worm (earthworm)",1219,107,cacing,23,c a c i n g,
6,108-1,Bali,ban,"louse",1392,108,kutu,1,k u t u,
7,109-44,Bali,ban,"mosquito",1509,109,legu,44,l e g u,ləgu 44
8,11-1,Bali,ban,"dust",2,11,buk,1,b u k,
9,110-1,Bali,ban,"spider",843,110,kekawa,1,k e k a w a,
10,113-9,Bali,ban,"branch",1531,113,carang,9,c a r a n g,
11,114-1,Bali,ban,"leaf",628,114,don,1,d o n,
12,115-2,Bali,ban,"root",670,115,akah,2,a k a h,
13,116-1,Bali,ban,"flower",239,116,bunga,1,b u n g a,
14,117-1,Bali,ban,"fruit",1507,117,woh-wohan,1,w o h w o h a n,
15,119-1,Bali,ban,"earth/soil",1228,119,tanah,1,t a n a h,
16,12-1,Bali,ban,"skin",763,12,kulit,1,k u l i t,
17,120-1,Bali,ban,"stone",857,120,batu,1,b a t u,
18,121-26,Bali,ban,"sand",671,121,bias,26,b i a s,
19,125-15,Bali,ban,"salt",1274,125,uyah,15,u y a h,
20,126-1,Bali,ban,"lake",624,126,danu,1,d a n u,
21,127-1,Bali,ban,"woods/forest",420,127,alas,1,a l a s,
22,128-1,Bali,ban,"sky",1732,128,langit,1,l a n g i t,
23,129-1,Bali,ban,"moon",1313,129,bulan,1,b u l a n,
24,130-1,Bali,ban,"star",1430,130,bintang,1,b i n t a n g,
25,133-1,Bali,ban,"rain",658,133,ujan,1,u j a n,
26,134-2,Bali,ban,"thunder",1150,134,kerug,2,k e r u g,kərug 2
27,136-1,Bali,ban,"wind",960,136,angin,1,a n g i n,
28,138-1,Bali,ban,"warm",1232,138,panes,1,p a n e s,
29,139-1,Bali,ban,"cold",1287,139,dingin,1,d i n g i n,
30,141-1,Bali,ban,"wet",1726,141,beseg,1,b e s e g,bəsəg 1
31,142-1,Bali,ban,"heavy",1210,142,baat,1,b aa t,
32,143-1,Bali,ban,"fire",221,143,api,1,a p i,
33,147-22,Bali,ban,"black",163,147,badeng,22,b a d e n g,badəŋ 22
34,148-1,Bali,ban,"white",1335,148,putih,1,p u t i h,
35,15-1,Bali,ban,"bone",1394,15,tulang,1,t u l a n g,
36,150-1,Bali,ban,"yellow",1424,150,kuning,1,k u n i n g,%kuning
37,151-28,Bali,ban,"green",1425,151,gadang,28,g a d a n g,
38,153-27,Bali,ban,"big",1202,153,gede,27,g e d e,gəde 27
39,154-54,Bali,ban,"short",1645,154,bawak,54,b a w a k,
40,155-33,Bali,ban,"long",1203,155,dawa,33,d a w a,dawə 33
41,156-1,Bali,ban,"thin",1400,156,tipis,1,t i p i s,
42,157-26,Bali,ban,"thick",1244,157,tebal,26,t e b a l,təbəl 26
43,16-21,Bali,ban,"intestines",1991,16,babetukan,21,b a b e t u k a n,
44,160-1,Bali,ban,"painful, sick",2103,160,sakit,1,s a k i t,
45,162-1,Bali,ban,"old",1229,162,tua,1,t u a,
46,165-25,Bali,ban,"bad, evil",1292,165,beler,25,b e l e r,bələr 25
47,166-1,Bali,ban,"correct, true",1725,166,beneh,1,b e n e h,bənəh 1
48,167-47,Bali,ban,"night",1233,167,peteng,47,p e t e n g,pətəŋ 47
49,168-11,Bali,ban,"day",1225,168,dina,11,d i n a,dinə 11
50,17-1,Bali,ban,"liver",1224,17,ati,1,a t i,
51,170-1,Bali,ban,"when?",1238,170,pidan,1,p i d a n,
52,171-30,Bali,ban,"to hide",602,171,mengkeb,30,m e n g k e b,
53,172-1,Bali,ban,"to climb",1102,172,menek,1,m e n e k,menɛk 1
54,173-20,Bali,ban,"at",1461,173,di,20,d i,sig 20
55,174-22,Bali,ban,"in, inside",1606,174,di tengah,22,d i _ t e n g a h,di təŋah 22
56,175-2,Bali,ban,"above",1741,175,baduur,2,b a d uu r,
57,177-1,Bali,ban,"this",1214,177,ene,1,e n e,əne 1
58,179-27,Bali,ban,"near",1942,179,paek,27,p a e k,paək 27
59,18-3,Bali,ban,"breast",1402,18,nyonyo,3,n y o n y o,
60,180-1,Bali,ban,"far",1406,180,joh,1,j o h,
61,184-1,Bali,ban,"he/she",262,184,ia,1,i a,
62,185-5,Bali,ban,"we",1212,185,iraga,5,i r a g a,iraga 5
63,188-1,Bali,ban,"what?",1236,188,apa,1,a p a,apə 1
64,19-1,Bali,ban,"shoulder",1482,19,pala,1,p a l a,palə 1
65,190-2,Bali,ban,"other",197,190,len,2,l e n,
66,192-2,Bali,ban,"and",1577,192,muah,2,m u a h,
67,197-1,Bali,ban,"One",1493,197,sa,1,s a,
68,198-1,Bali,ban,"Two",1498,198,dadua,1,d a d u a,
69,199-1,Bali,ban,"Three",492,199,telu,1,t e l u,təlu 1
70,20-36,Bali,ban,"to know, be knowledgeable",1410,20,tawang,36,t a w a n g,
71,200-1,Bali,ban,"Four",1500,200,patpat,1,p a t p a t,
72,201-1,Bali,ban,"Five",493,201,limə,1,l i m ə,
73,202-1,Bali,ban,"Six",1703,202,ənəm,1,ə n ə m,
74,203-1,Bali,ban,"Seven",1704,203,pitu,1,p i t u,
75,205-5,Bali,ban,"Nine",1483,205,siə,5,s i ə,
76,209-4,Bali,ban,"One Hundred",1634,209,satus,4,s a t u s,
77,21-33,Bali,ban,"to think",2271,21,mekeneh,33,m e k e n e h,
78,22-1,Bali,ban,"to fear",1419,22,takut,1,t a k u t,
79,23-18,Bali,ban,"blood",946,23,getih,18,g e t i h,gətih 18
80,25-70,Bali,ban,"neck",1333,25,baong,70,b a o n g,
81,26-1,Bali,ban,"hair",1040,26,bok,1,b o k,
82,29-1,Bali,ban,"to sniff, smell",375,29,ngadek,1,n g a d e k,ŋadək 1
83,3-1,Bali,ban,"right",1019,3,tengawan,1,t e n g a w a n,təŋawan 1
84,30-37,Bali,ban,"mouth",674,30,bunnut,37,b u nn u t,bibin 32
85,31-17,Bali,ban,"tooth",1380,31,gigi,17,g i g i,
86,33-30,Bali,ban,"to laugh",1355,33,kedek,30,k e d e k,kədɛk 30
87,35-1,Bali,ban,"to vomit",1278,35,ngutah,1,n g u t a h,
88,37-11,Bali,ban,"to eat",1336,37,daar,11,d aa r,%daar
89,38-24,Bali,ban,"to chew",321,38,makpak,24,m a k p a k,
90,39-2,Bali,ban,"to cook",1100,39,nyakan,2,n y a k a n,
91,4-23,Bali,ban,"leg/foot",2098,4,batis,23,b a t i s,
92,40-1,Bali,ban,"to drink",1401,40,nginem,1,n g i n e m,ŋinəm 1
93,41-30,Bali,ban,"to bite",1403,41,nyegut,30,n y e g u t,ñəgut 30
94,42-1,Bali,ban,"to suck",1421,42,ngisep,1,n g i s e p,ŋisəp 1
95,43-15,Bali,ban,"ear",1247,43,kuping,15,k u p i n g,%kuping
96,44-1,Bali,ban,"to hear",1408,44,ningeh,1,n i n g e h,niŋəh 1?
97,45-1,Bali,ban,"eye",1248,45,mata,1,m a t a,
98,47-1,Bali,ban,"to yawn",1028,47,uab-uab,1,u a b u a b,
99,5-21,Bali,ban,"to walk",1443,5,majalan,21,m a j a l a n,məjalan 21
100,50-1,Bali,ban,"to dream",1920,50,ngipi,1,n g i p i,
101,54-1,Bali,ban,"man/male",1554,54,muani,1,m u a n i,
102,56-1,Bali,ban,"child",2099,56,panak,1,p a n a k,
103,60-5,Bali,ban,"father",1217,60,bapa,5,b a p a,bapə 5
104,61-1,Bali,ban,"house",1252,61,umah,1,u m a h,umah 1
105,63-1,Bali,ban,"name",1405,63,adan,1,a d a n,adan 1
106,64-25,Bali,ban,"to say",1458,64,ngomong,25,n g o m o n g,%ngomong; %nomoŋ 25
107,65-1,Bali,ban,"rope",1218,65,tali,1,t a l i,
108,67-2,Bali,ban,"to sew",1457,67,nyait,2,n y a i t,ñait 2
109,68-1,Bali,ban,"needle",1382,68,jaum,1,j a u m,jaum 1
110,7-17,Bali,ban,"to come",1446,7,təku,17,t ə k u,təkə 17
111,70-9,Bali,ban,"to shoot",1172,70,medil,9,m e d i l,mədil 9
112,71-25,Bali,ban,"to stab, pierce",1434,71,nebek,25,n e b e k,nəbək 25
113,72-34,Bali,ban,"to hit",1433,72,nyagur,34,n y a g u r,ñagur 34
114,73-16,Bali,ban,"to steal",713,73,maling,16,m a l i n g,maliŋ 16
115,74-2,Bali,ban,"to kill",1417,74,ngamatiang,2,n g a m a t i a n g,ŋəmatiyang 2
116,75-1,Bali,ban,"to die, be dead",1494,75,mati,1,m a t i,
117,76-1,Bali,ban,"to live, be alive",1422,76,idup,1,i d u p,
118,78-36,Bali,ban,"to cut, hack",1432,78,nugel,36,n u g e l,nugəl 36
119,79-1,Bali,ban,"stick/wood",1295,79,kayu,1,k a y u,
120,8-24,Bali,ban,"to turn",1588,8,belok,24,b e l o k,
121,82-1,Bali,ban,"dull, blunt",379,82,puntul,1,p u n t u l,
122,84-2,Bali,ban,"to plant",1486,84,nanem,2,n a n e m,nanəm 2
123,85-1,Bali,ban,"to choose",1750,85,milih,1,m i l i h,
124,86-1,Bali,ban,"to grow",479,86,tumbuh,1,t u m b u h,
125,9-1,Bali,ban,"to swim",1439,9,nglangi,1,n g l a n g i,
126,91-1,Bali,ban,"to buy",1869,91,meli,1,m e l i,məli 1
127,92-27,Bali,ban,"to open, uncover",1156,92,ngehgah,27,n g e h g a h,ŋahgah 27
128,93-6,Bali,ban,"to pound, beat",354,93,nebuk,6,n e b u k,nəbuk 6
129,95-34,Bali,ban,"to fall",1280,95,ulung,34,u l u n g,
130,98-1,Bali,ban,"egg",744,98,taluh,1,t a l u h,
131,99-1,Bali,ban,"feather",1201,99,bulu,1,b u l u,
132,1-1,Banggai (W.dialect),bgz,"hand",1277,1,lima,1,l i m a,
133,104-24,Banggai (W.dialect),bgz,"fat/grease",1282,104,lanak,24,l a n a k,minak 1
134,106-39,Banggai (W.dialect),bgz,"snake",730,106,bindana,39,b i n d a n a,
135,107-36,Banggai (W.dialect),bgz,"worm (earthworm)",1219,107,uloy,36,u l o y,
136,108-1,Banggai (W.dialect),bgz,"louse",1392,108,kutu|k,1,k u t u| k,
137,110-1,Banggai (W.dialect),bgz,"spider",843,110,loa,1,l o a,
138,113-22,Banggai (W.dialect),bgz,"branch",1531,113,paŋa,22,p a ŋ a,
139,114-1,Banggai (W.dialect),bgz,"leaf",628,114,loon,1,l oo n,
140,116-1,Banggai (W.dialect),bgz,"flower",239,116,buŋa,1,b u ŋ a,
141,119-1,Banggai (W.dialect),bgz,"earth/soil",1228,119,tano,1,t a n o,
142,12-1,Banggai (W.dialect),bgz,"skin",763,12,kulit,1,k u l i t,
143,120-1,Banggai (W.dialect),bgz,"stone",857,120,batu,1,b a t u,
144,121-1,Banggai (W.dialect),bgz,"sand",671,121,bone,1,b o n e,
145,125-2,Banggai (W.dialect),bgz,"salt",1274,125,timuson,2,t i m u s o n,
146,13-51,Banggai (W.dialect),bgz,"back",1291,13,toŋkuluŋ,51,t o ŋ k u l u ŋ,
147,130-1,Banggai (W.dialect),bgz,"star",1430,130,bituon pauna,1,b i t u o n _ p a u n a,
148,133-1,Banggai (W.dialect),bgz,"rain",658,133,udan,1,u d a n,
149,135-1,Banggai (W.dialect),bgz,"lightning",1654,135,kilap,1,k i l a p,
150,138-1,Banggai (W.dialect),bgz,"warm",1232,138,onas,1,o n a s,
151,14-1,Banggai (W.dialect),bgz,"belly",1251,14,tia,1,t i a,
152,142-1,Banggai (W.dialect),bgz,"heavy",1210,142,barat,1,b a r a t,
153,149-1,Banggai (W.dialect),bgz,"red",156,149,memela,1,m e m e l a,[me]mela
154,15-16,Banggai (W.dialect),bgz,"bone",1394,15,buku,16,b u k u,
155,152-1,Banggai (W.dialect),bgz,"small",1246,152,didik,1,d i d i k,
156,156-1,Banggai (W.dialect),bgz,"thin",1400,156,nipi,1,n i p i,
157,160-1,Banggai (W.dialect),bgz,"painful, sick",2103,160,ma-sakit,1,m a s a k i t,
158,161-1,Banggai (W.dialect),bgz,"shy, ashamed",487,161,mamaa,1,m a m aa,
159,166-6,Banggai (W.dialect),bgz,"correct, true",1725,166,tuu,6,t uu,
160,17-1,Banggai (W.dialect),bgz,"liver",1224,17,ate,1,a t e,
161,170-1,Banggai (W.dialect),bgz,"when?",1238,170,no|ian,1,n o| i a n,
162,174-1,Banggai (W.dialect),bgz,"in, inside",1606,174,doi laloŋ,1,d o i _ l a l o ŋ,
163,177-1,Banggai (W.dialect),bgz,"this",1214,177,nia,1,n i a,
164,179-1,Banggai (W.dialect),bgz,"near",1942,179,lolani,1,l o l a n i,
165,18-1,Banggai (W.dialect),bgz,"breast",1402,18,susu,1,s u s u,
166,182-1,Banggai (W.dialect),bgz,"I",1209,182,iaku,1,i a k u,
167,183-1,Banggai (W.dialect),bgz,"thou",1215,183,ikoo,1,i k oo,
168,185-1,Banggai (W.dialect),bgz,"we",1212,185,ikita,1,i k i t a,ikami 2
169,186-13,Banggai (W.dialect),bgz,"you",1213,186,ikomuyu,13,i k o m u y u,
170,198-1,Banggai (W.dialect),bgz,"Two",1498,198,lua,1,l u a,
171,199-1,Banggai (W.dialect),bgz,"Three",492,199,tolu,1,t o l u,
172,201-1,Banggai (W.dialect),bgz,"Five",493,201,lima,1,l i m a,
173,203-1,Banggai (W.dialect),bgz,"Seven",1704,203,pitu,1,p i t u,
174,204-3,Banggai (W.dialect),bgz,"Eight",1705,204,alu,3,a l u,
175,205-5,Banggai (W.dialect),bgz,"Nine",1483,205,sio,5,s i o,
176,21-22,Banggai (W.dialect),bgz,"to think",2271,21,pikir,22,p i k i r,%pikir
177,22-1,Banggai (W.dialect),bgz,"to fear",1419,22,ma-takut,1,m a t a k u t,
178,24-1,Banggai (W.dialect),bgz,"head",1256,24,ulu,1,u l u,
179,26-1,Banggai (W.dialect),bgz,"hair",1040,26,buuk,1,b uu k,
180,28-23,Banggai (W.dialect),bgz,"to breathe",1407,28,asaaŋ,23,a s aa ŋ,
181,30-1,Banggai (W.dialect),bgz,"mouth",674,30,baba,1,b a b a,suuŋ 40
182,35-8,Banggai (W.dialect),bgz,"to vomit",1278,35,tolue,8,t o l u e,
183,37-1,Banggai (W.dialect),bgz,"to eat",1336,37,kaan,1,k aa n,
184,4-1,Banggai (W.dialect),bgz,"leg/foot",2098,4,ai,1,a i,
185,40-1,Banggai (W.dialect),bgz,"to drink",1401,40,inum,1,i n u m,
186,41-1,Banggai (W.dialect),bgz,"to bite",1403,41,kakat,1,k a k a t,
187,42-1,Banggai (W.dialect),bgz,"to suck",1421,42,sosop,1,s o s o p,
188,43-1,Banggai (W.dialect),bgz,"ear",1247,43,taliŋa|i,1,t a l i ŋ a| i,
189,44-1,Banggai (W.dialect),bgz,"to hear",1408,44,loŋol,1,l o ŋ o l,
190,45-1,Banggai (W.dialect),bgz,"eye",1248,45,mata,1,m a t a,
191,46-1,Banggai (W.dialect),bgz,"to see",1409,46,kita,1,k i t a,
192,51-35,Banggai (W.dialect),bgz,"to sit",1416,51,duduk,35,d u d u k,
193,54-1,Banggai (W.dialect),bgz,"man/male",1554,54,malane,1,m a l a n e,
194,55-1,Banggai (W.dialect),bgz,"woman/female",962,55,boʔine,1,b o ʔ i n e,
195,57-34,Banggai (W.dialect),bgz,"husband",1200,57,laŋkay,34,l a ŋ k a y,
196,59-1,Banggai (W.dialect),bgz,"mother",1216,59,tina,1,t i n a,
197,60-1,Banggai (W.dialect),bgz,"father",1217,60,tama,1,t a m a,
198,61-18,Banggai (W.dialect),bgz,"house",1252,61,bonua,18,b o n u a,
199,69-36,Banggai (W.dialect),bgz,"to hunt",1435,69,maŋ-asu,36,m a ŋ a s u,
200,70-1,Banggai (W.dialect),bgz,"to shoot",1172,70,mam-panapi,1,m a m p a n a p i,
201,71-30,Banggai (W.dialect),bgz,"to stab, pierce",1434,71,suduk,30,s u d u k,tobok 24
202,75-1,Banggai (W.dialect),bgz,"to die, be dead",1494,75,mate,1,m a t e,
203,76-19,Banggai (W.dialect),bgz,"to live, be alive",1422,76,tubo,19,t u b o,
204,79-1,Banggai (W.dialect),bgz,"stick/wood",1295,79,kau,1,k a u,
205,84-32,Banggai (W.dialect),bgz,"to plant",1486,84,man-sasak-on,32,m a n s a s a k o n,
206,85-1,Banggai (W.dialect),bgz,"to choose",1750,85,ilei,1,i l e i,
207,86-1,Banggai (W.dialect),bgz,"to grow",479,86,tuboy,1,t u b o y,
208,87-19,Banggai (W.dialect),bgz,"to swell",1573,87,baŋkak,19,b a ŋ k a k,
209,88-29,Banggai (W.dialect),bgz,"to squeeze",1414,88,piis,29,p ii s,
210,90-1,Banggai (W.dialect),bgz,"to dig",1418,90,gali,1,g a l i,kali 1
211,91-1,Banggai (W.dialect),bgz,"to buy",1869,91,moŋ-oli,1,m o ŋ o l i,
212,96-1,Banggai (W.dialect),bgz,"dog",2009,96,asu,1,a s u,
213,97-1,Banggai (W.dialect),bgz,"bird",937,97,manu-manuk,1,m a n u m a n u k,
214,99-1,Banggai (W.dialect),bgz,"feather",1201,99,bulu,1,b u l u,
215,1-1,Banoni,bcm,"hand",1277,1,numa-,1,n u m a,
216,101-49,Banoni,bcm,"to fly",1441,101,burunu,49,b u r u n u,
217,102-3,Banoni,bcm,"rat",1490,102,kiso,3,k i s o,
218,106-21,Banoni,bcm,"snake",730,106,koru,21,k o r u,
219,107-39,Banoni,bcm,"worm (earthworm)",1219,107,koropita,39,k o r o p i t a,
220,108-1,Banoni,bcm,"louse",1392,108,ghutsu,1,g h u t s u,
221,112-39,Banoni,bcm,"rotten",1728,112,raapa,39,r aa p a,
222,115-19,Banoni,bcm,"root",670,115,bagarana,19,b a g a r a n a,
223,122-7,Banoni,bcm,"water",948,122,koromo,7,k o r o m o,
224,130-1,Banoni,bcm,"star",1430,130,pipito,1,p i p i t o,
225,132-1,Banoni,bcm,"fog",249,132,kabu,1,k a b u,
226,134-28,Banoni,bcm,"thunder",1150,134,pina,28,p i n a,
227,135-14,Banoni,bcm,"lightning",1654,135,kanava,14,k a n a v a,takiravana 14
228,138-29,Banoni,bcm,"warm",1232,138,visisiki,29,v i s i s i k i,
