ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-21,SYRIAC_2,syc,"I",1209,1,ena,21,e n a,
2,1-21,ARABIC_QURANIC,arb,"I",1209,1,ana,21,a n a,
3,1-21,ARABIC_LEBANESE,apc,"I",1209,1,ani,21,a n i,
4,1-21,GEEZ,gez,"I",1209,1,ana,21,a n a,
5,1-21,TIGRAI,tir,"I",1209,1,ane,21,a n e,
6,1-21,AMHARIC_3,amh,"I",1209,1,3ne,21,3 n e,
7,1-21,HARARI_2,har,"I",1209,1,an,21,a n,
8,1-22,MEHRI_2,gdq,"I",1209,1,hoh,22,h o h,
9,1-22,JIBBALI,shv,"I",1209,1,he,22,h e,also: he7
10,1-22,SOQOTRI_2,sqt,"I",1209,1,hohon,22,h o h o n,
11,1-21,SIWA,siz,"I",1209,1,niS,21,n i S,also: n3S
12,1-21,GHADAMES_2,gha,"I",1209,1,neS,21,n e S,
13,1-21,AHAGGAR,thv,"I",1209,1,n3k,21,n 3 k,
14,1-21,ZENAGA_2,zen,"I",1209,1,nik,21,n i k,
15,1-21,QABYLE,kab,"I",1209,1,n3k,21,n 3 k,
16,1-21,HAUSA_3,hau,"I",1209,1,na,21,n a,
17,1-21,BOLEWA,bol,"I",1209,1,ina,21,i n a,
18,1-21,BEJA_2,bej,"I",1209,1,ani,21,a n i,
19,1-21,OROMO,gaz,"I",1209,1,ana,21,a n a,also: ani
20,1-21,DAHALO_2,dal,"I",1209,1,a5i,21,a 5 i,
21,1-24,KAFFA,kbr,"I",1209,1,ta,24,t a,
22,66-3,SYRIAC_2,syc,"come",1446,66,ty,3,t y,
23,66-3,ARABIC_QURANIC,arb,"come",1446,66,ty,3,t y,also: j7y
24,66-4,ARABIC_LEBANESE,apc,"come",1446,66,3Za,4,3 Z a,
25,66-5,GEEZ,gez,"come",1446,66,mc7,5,m c 7,
26,66-5,TIGRAI,tir,"come",1446,66,masX~7e,5,m a sX~ 7 e,
27,66-5,AMHARIC_3,amh,"come",1446,66,m3ta,5,m 3 t a,
28,66-6,MEHRI_2,gdq,"come",1446,66,nukaX,6,n u k a X,
29,66-6,JIBBALI,shv,"come",1446,66,nikaX,6,n i k a X,
30,66-7,SOQOTRI_2,sqt,"come",1446,66,gedah,7,g e d a h,
31,66-9,SIWA,siz,"come",1446,66,us,9,u s,
32,66-9,GHADAMES_2,gha,"come",1446,66,as,9,a s,
33,66-9,AHAGGAR,thv,"come",1446,66,as,9,a s,
34,66-10,ZENAGA_2,zen,"come",1446,66,Sed,10,S e d,
35,66-9,QABYLE,kab,"come",1446,66,as,9,a s,
36,66-11,HAUSA_3,hau,"come",1446,66,zo,11,z o,
37,66-12,BOLEWA,bol,"come",1446,66,diNgo,12,d i N g o,
38,66-8,BEJA_2,bej,"come",1446,66,yit,8,y i t,also: i
39,66-13,OROMO,gaz,"come",1446,66,dufa,13,d u f a,
40,66-14,DAHALO_2,dal,"come",1446,66,haX,14,h a X,
41,66-8,KAFFA,kbr,"come",1446,66,wa,8,w a,
42,75-1,SYRIAC_2,syc,"water",948,75,maye,1,m a y e,
43,75-1,ARABIC_QURANIC,arb,"water",948,75,ma,1,m a,
44,75-1,ARABIC_LEBANESE,apc,"water",948,75,may,1,m a y,
45,75-1,GEEZ,gez,"water",948,75,may,1,m a y,
46,75-1,TIGRAI,tir,"water",948,75,may,1,m a y,
47,75-1,HARARI_2,har,"water",948,75,miy,1,m i y,
48,75-1,MEHRI_2,gdq,"water",948,75,Xemuh,1,X e m u h,
49,75-1,JIBBALI,shv,"water",948,75,mih,1,m i h,
50,75-2,SOQOTRI_2,sqt,"water",948,75,riho,2,r i h o,
51,75-3,SIWA,siz,"water",948,75,aman,3,a m a n,
52,75-3,GHADAMES_2,gha,"water",948,75,aman,3,a m a n,
53,75-3,AHAGGAR,thv,"water",948,75,aman,3,a m a n,
54,75-3,ZENAGA_2,zen,"water",948,75,aman,3,a m a n,also: am3nh~
55,75-3,QABYLE,kab,"water",948,75,aman,3,a m a n,
56,75-2,HAUSA_3,hau,"water",948,75,ruwa,2,r u w a,
57,75-3,BOLEWA,bol,"water",948,75,3ma,3,3 m a,
58,75-3,BEJA_2,bej,"water",948,75,yam,3,y a m,
59,75-4,OROMO,gaz,"water",948,75,bisan,4,b i s a n,
60,75-1,DAHALO_2,dal,"water",948,75,ma7a,1,m a 7 a,
61,75-5,KAFFA,kbr,"water",948,75,aCo,5,a C o,
62,86-53,SYRIAC_2,syc,"mountain",639,86,tX~ur,53,tX~ u r,
63,86-54,ARABIC_QURANIC,arb,"mountain",639,86,Zabal,54,Z a b a l,
64,86-54,ARABIC_LEBANESE,apc,"mountain",639,86,Zabel,54,Z a b e l,
65,86-55,GEEZ,gez,"mountain",639,86,dab3r,55,d a b 3 r,
66,86-56,AMHARIC_3,amh,"mountain",639,86,t3rara,56,t 3 r a r a,
67,86-57,HARARI_2,har,"mountain",639,86,sEri,57,s E r i,
68,86-58,MEHRI_2,gdq,"mountain",639,86,karmaym,58,k a r m a y m,
69,86-59,JIBBALI,shv,"mountain",639,86,her,59,h e r,
70,86-60,SOQOTRI_2,sqt,"mountain",639,86,fedehon,60,f e d e h o n,
71,86-62,SIWA,siz,"mountain",639,86,adrar,62,a d r a r,
72,86-62,GHADAMES_2,gha,"mountain",639,86,adurar,62,a d u r a r,
73,86-62,AHAGGAR,thv,"mountain",639,86,adrar,62,a d r a r,
74,86-62,QABYLE,kab,"mountain",639,86,adrar,62,a d r a r,
75,86-63,HAUSA_3,hau,"mountain",639,86,"duC""e",63,"d u C"" e",
76,86-64,BOLEWA,bol,"mountain",639,86,guoS3w,64,g u o S 3 w,
77,86-65,OROMO,gaz,"mountain",639,86,tulu,65,t u l u,
78,86-66,KAFFA,kbr,"mountain",639,86,gudo,66,g u d o,
79,72-1,SYRIAC_2,syc,"sun",1343,72,SemS,1,S e m S,
80,72-1,ARABIC_QURANIC,arb,"sun",1343,72,Sams,1,S a m s,
81,72-1,ARABIC_LEBANESE,apc,"sun",1343,72,Sam3s,1,S a m 3 s,
82,72-2,GEEZ,gez,"sun",1343,72,daXay,2,d a X a y,
83,72-2,TIGRAI,tir,"sun",1343,72,sX~aXay,2,sX~ a X a y,
84,72-2,AMHARIC_3,amh,"sun",1343,72,tehay,2,t e h a y,also: s3hay, tay
85,72-3,HARARI_2,har,"sun",1343,72,ir,3,i r,
86,72-4,MEHRI_2,gdq,"sun",1343,72,X3yum,4,X 3 y u m,
87,72-4,JIBBALI,shv,"sun",1343,72,yum,4,y u m,
88,72-1,SOQOTRI_2,sqt,"sun",1343,72,Sam,1,S a m,
89,72-6,SIWA,siz,"sun",1343,72,tfukt,6,t f u k t,
90,72-7,GHADAMES_2,gha,"sun",1343,72,isi,7,i s i,
91,72-6,AHAGGAR,thv,"sun",1343,72,tafuk,6,t a f u k,
92,72-6,ZENAGA_2,zen,"sun",1343,72,t37fukt,6,t 3 7 f u k t,
93,72-8,QABYLE,kab,"sun",1343,72,itiZ,8,i t i Z,
94,72-9,HAUSA_3,hau,"sun",1343,72,rana,9,r a n a,
95,72-10,BOLEWA,bol,"sun",1343,72,futi,10,f u t i,
96,72-11,BEJA_2,bej,"sun",1343,72,yin,11,y i n,also: in
97,72-12,OROMO,gaz,"sun",1343,72,adu,12,a d u,
98,72-13,KAFFA,kbr,"sun",1343,72,abo,13,a b o,
99,74-71,SYRIAC_2,syc,"star",1430,74,kawb3b,71,k a w b 3 b,
100,74-71,ARABIC_QURANIC,arb,"star",1430,74,kawkab,71,k a w k a b,
101,74-72,ARABIC_LEBANESE,apc,"star",1430,74,niZmi,72,n i Z m i,
102,74-71,GEEZ,gez,"star",1430,74,kokab,71,k o k a b,
103,74-71,TIGRAI,tir,"star",1430,74,kokob,71,k o k o b,
104,74-71,AMHARIC_3,amh,"star",1430,74,kok3b,71,k o k 3 b,
105,74-73,HARARI_2,har,"star",1430,74,tuy,73,t u y,
106,74-71,MEHRI_2,gdq,"star",1430,74,kebkib,71,k e b k i b,
107,74-71,JIBBALI,shv,"star",1430,74,k3bkeb,71,k 3 b k e b,
108,74-71,SOQOTRI_2,sqt,"star",1430,74,kibSib,71,k i b S i b,
109,74-75,SIWA,siz,"star",1430,74,iri,75,i r i,
110,74-75,GHADAMES_2,gha,"star",1430,74,iri,75,i r i,
111,74-76,AHAGGAR,thv,"star",1430,74,atri,76,a t r i,
112,74-76,ZENAGA_2,zen,"star",1430,74,ed3ri,76,e d 3 r i,
113,74-76,QABYLE,kab,"star",1430,74,itri,76,i t r i,
114,74-76,HAUSA_3,hau,"star",1430,74,tauraro,76,t a u r a r o,
115,74-77,BOLEWA,bol,"star",1430,74,janja,77,j a n j a,
116,74-78,BEJA_2,bej,"star",1430,74,hayuk,78,h a y u k,
117,74-79,OROMO,gaz,"star",1430,74,urji,79,u r j i,
118,74-80,KAFFA,kbr,"star",1430,74,tojano,80,t o j a n o,
119,11-72,SYRIAC_2,syc,"one",1493,11,Xad,72,X a d,
120,11-72,ARABIC_QURANIC,arb,"one",1493,11,waXid,72,w a X i d,
121,11-72,ARABIC_LEBANESE,apc,"one",1493,11,w3Xad,72,w 3 X a d,
122,11-72,GEEZ,gez,"one",1493,11,aXadu,72,a X a d u,
123,11-72,TIGRAI,tir,"one",1493,11,Xada,72,X a d a,
124,11-72,AMHARIC_3,amh,"one",1493,11,and,72,a n d,
125,11-72,HARARI_2,har,"one",1493,11,aXad,72,a X a d,
126,11-73,MEHRI_2,gdq,"one",1493,11,tat,73,t a t,also: tayt
127,11-73,JIBBALI,shv,"one",1493,11,tad,73,t a d,
128,11-73,SOQOTRI_2,sqt,"one",1493,11,tad,73,t a d,
129,11-74,SIWA,siz,"one",1493,11,3j3n,74,3 j 3 n,
130,11-74,GHADAMES_2,gha,"one",1493,11,yun,74,y u n,
131,11-74,AHAGGAR,thv,"one",1493,11,y3n,74,y 3 n,also: iyan
132,11-74,ZENAGA_2,zen,"one",1493,11,yu7u,74,y u 7 u,also: 3yu7n
133,11-74,QABYLE,kab,"one",1493,11,yiw3n,74,y i w 3 n,
134,11-75,HAUSA_3,hau,"one",1493,11,daya,75,d a y a,
135,11-75,BOLEWA,bol,"one",1493,11,modi,75,m o d i,
136,11-76,BEJA_2,bej,"one",1493,11,gar,76,g a r,also: gal
137,11-77,OROMO,gaz,"one",1493,11,toko,77,t o k o,
138,11-77,DAHALO_2,dal,"one",1493,11,watukw~e,77,w a t u kw~ e,
139,11-78,KAFFA,kbr,"one",1493,11,iko,78,i k o,
140,12-52,SYRIAC_2,syc,"two",1498,12,taren,52,t a r e n,
141,12-51,ARABIC_QURANIC,arb,"two",1498,12,i8nani,51,i 8 n a n i,
142,12-51,ARABIC_LEBANESE,apc,"two",1498,12,tneyn,51,t n e y n,
143,12-53,GEEZ,gez,"two",1498,12,k3l7e,53,k 3 l 7 e,
144,12-53,TIGRAI,tir,"two",1498,12,k3l3te,53,k 3 l 3 t e,
145,12-53,AMHARIC_3,amh,"two",1498,12,hul3t,53,h u l 3 t,
146,12-53,HARARI_2,har,"two",1498,12,ko7ot,53,k o 7 o t,
147,12-52,MEHRI_2,gdq,"two",1498,12,deroh,52,d e r o h,
148,12-52,JIBBALI,shv,"two",1498,12,troh,52,t r o h,
