ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-7,Gongxing,,"I",1209,1209,ŋa₄₂,7,ŋ a ⁴²,
2,1209-7,Jinman,,"I",1209,1209,õ₄₂,7,õ ⁴²,
3,1209-7,Mazhelong,,"I",1209,1209,ŋo₄₂,7,ŋ o ⁴²,
4,1209-7,Dashi,,"I",1209,1209,ŋõ₃₁,7,ŋ õ ³¹,
5,1209-7,Zhoucheng,,"I",1209,1209,ŋo₃₁,7,ŋ o ³¹,
6,1209-7,Jinxing,,"I",1209,1209,wõ₃₁,7,w õ ³¹,
7,1209-7,Tuolo,,"I",1209,1209,ŋɔ₂₁,7,ŋ ɔ ²¹,
8,1209-7,Enqi,,"I",1209,1209,ɴo₄₃,7,ɴ o ⁴³,
9,1209-7,Ega,,"I",1209,1209,ŋo₄₂,7,ŋ o ⁴²,
10,98-1,Gongxing,,"all",98,98,ʦʰæ₂₂ja₄₂,1,tsʰ æ ²² j a ⁴²,
11,98-202,Jinman,,"all",98,98,da₄₂t͡ʂɚ₂₂,202,d a ⁴² ʈʂ ə˞ ²²,
12,98-233,Mazhelong,,"all",98,98,so₂₁ji₂₁,233,s o ²¹ j i ²¹,
13,98-259,Dashi,,"all",98,98,ʨwan₄₂pu₅₅,259,tɕ w a n ⁴² p u ⁵⁵,
14,98-244,Zhoucheng,,"all",98,98,ji₃₁su₃₃,244,j i ³¹ s u ³³,
15,98-2,Jinxing,,"all",98,98,ʦa₃₅kɑ₂₁ʦi₃₃,2,ts a ³⁵ k ɑ ²¹ ts i ³³,
16,98-33,Tuolo,,"all",98,98,ʨʰa₅₅,33,tɕʰ a ⁵⁵,
17,98-3,Enqi,,"all",98,98,ʨa₂₄ʁo₂₁ʦi₂₂,3,tɕ a ²⁴ ʁ o ²¹ ts i ²²,
18,98-201,Ega,,"all",98,98,da₅₅ŋwa₂₂,201,d a ⁵⁵ ŋ w a ²²,
19,646-58,Gongxing,,"ashes",646,646,xwɛ₂₂ɕy₅₅ʁwa₁₂,58,x w ɛ ²² ɕ y ⁵⁵ ʁ w a ¹²,
20,646-88,Jinman,,"ashes",646,646,kʰwa₅₅la₂₁ɕu₅₅,88,kʰ w a ⁵⁵ l a ²¹ ɕ u ⁵⁵,
21,646-59,Mazhelong,,"ashes",646,646,xwa₃₁la₄₄su₅₅,59,x w a ³¹ l a ⁴⁴ s u ⁵⁵,
22,646-67,Zhoucheng,,"ashes",646,646,su₅₅,67,s u ⁵⁵,
23,646-67,Jinxing,,"ashes",646,646,su₅₅,67,s u ⁵⁵,
24,646-67,Tuolo,,"ashes",646,646,ʂɤ₅₅,67,ʂ ɤ ⁵⁵,
25,646-57,Enqi,,"ashes",646,646,xwi₂₂ɕu₂₄,57,x w i ²² ɕ u ²⁴,
26,646-59,Ega,,"ashes",646,646,xwa₅₅lo₂₁ɕu₅₅,59,x w a ⁵⁵ l o ²¹ ɕ u ⁵⁵,
27,1204-109,Gongxing,,"bark",1204,1204,d͡ʐi₁₂bi₂₁,109,ɖʐ i ¹² b i ²¹,
28,1204-131,Mazhelong,,"bark",1204,1204,ɕen₅₅pe₂₁,131,ɕ e n ⁵⁵ p e ²¹,
29,1204-109,Dashi,,"bark",1204,1204,t͡ʂɯ₂₁pe₂₁,109,ʈʂ ɯ ²¹ p e ²¹,
30,1204-109,Zhoucheng,,"bark",1204,1204,ʦɯ₃₁pe₂₁,109,ts ɯ ³¹ p e ²¹,
31,1204-109,Jinxing,,"bark",1204,1204,ʦɯ₃₁pe₂₁,109,ts ɯ ³¹ p e ²¹,
32,1204-109,Tuolo,,"bark",1204,1204,djɯ₂₁bi₃₅,109,d j ɯ ²¹ b i ³⁵,
33,1204-109,Enqi,,"bark",1204,1204,djɯ₄₃pi₂₁,109,d j ɯ ⁴³ p i ²¹,
34,1204-110,Ega,,"bark",1204,1204,ʥi₄₂ʨyj₂₁qa₅₅,110,dʑ i ⁴² tɕ y j ²¹ q a ⁵⁵,
35,1251-147,Gongxing,,"belly",1251,1251,ʐi₂₁,147,ʐ i ²¹,
36,1251-147,Jinman,,"belly",1251,1251,ʐɚ₄₂,147,ʐ ə˞ ⁴²,
37,1251-160,Mazhelong,,"belly",1251,1251,pɯ₄₄,160,p ɯ ⁴⁴,
38,1251-160,Dashi,,"belly",1251,1251,fo₄₄,160,f o ⁴⁴,
39,1251-160,Zhoucheng,,"belly",1251,1251,fɤ₄₄,160,f ɤ ⁴⁴,
40,1251-160,Jinxing,,"belly",1251,1251,fɤ₄₄,160,f ɤ ⁴⁴,
