ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-1028,Changsha,,"I",1209,1209,ŋo⁴¹,1028,ŋ o ⁴¹,
2,1209-1028,Guiyang,,"I",1209,1209,ŋo⁴²,1028,ŋ o ⁴²,
3,1209-1028,Xiamen,,"I",1209,1209,gwa⁵³,1028,g w a ⁵³,
4,1209-1028,Hefei,,"I",1209,1209,ʊ²⁴,1028,ʊ ²⁴,
5,1209-1028,Jinan,,"I",1209,1209,və⁵⁵,1028,v ə ⁵⁵,
6,1209-1029,Jinan,,"I",1209,1209,ŋã⁵⁵,1029,ŋ ã ∼ ⁵⁵,
7,1209-1028,Hangzhou,,"I",1209,1209,ŋo⁵³,1028,ŋ o ⁵³,
8,1209-1028,Guangzhou,,"I",1209,1209,ŋɔ²³,1028,ŋ ɔ ²³,
9,1209-1028,Nanchang,,"I",1209,1209,ŋo²¹³,1028,ŋ o ²¹³,
10,1209-1028,Chengdu,,"I",1209,1209,ŋo⁵³,1028,ŋ o ⁵³,
11,1209-1028,Taoyuan,,"I",1209,1209,ɣɤ⁵³,1028,ɣ ɤ ⁵³,
12,1209-1029,Taoyuan,,"I",1209,1209,æ̃⁵³,1029,æ̃ ∼ ⁵³,
13,1209-1030,Shexian,,"I",1209,1209,a³¹,1030,a ³¹,
14,1209-1028,Beijing,,"I",1209,1209,wo²¹⁴,1028,w o ²¹⁴,
15,1209-1028,Kunming,,"I",1209,1209,o⁵³,1028,o ⁵³,
16,1209-1028,Shanghai,,"I",1209,1209,ŋu¹³,1028,ŋ u ¹³,
17,726-78,Meixian,,"a while",726,726,ha⁵³,78,h a ⁵³,
18,726-79,Changsha,,"a while",726,726,xa¹¹xaʦɿ,79,x a ¹¹ x a ⁰ ts ɿ,
19,726-81,Guiyang,,"a while",726,726,ʦen²¹³,81,ts e n ²¹³,
20,726-78,Guiyang,,"a while",726,726,xa²¹³,78,x a ²¹³,
21,726-83,Guiyang,,"a while",726,726,fen⁵⁵ʦoŋ⁵⁵,83,f e n ⁵⁵ ts o ŋ ⁵⁵,
22,726-84,Xiamen,,"a while",726,726,tʰjã⁵⁵ʦit⁵tjap³²ba⁵³ku,84,t j a p ³² b a ⁵³ k u,
23,726-86,Xiamen,,"a while",726,726,tʰjã⁵⁵tam²²poʔ⁵a⁵³ku⁵³,86,t a m ²² p o ʔ ⁵ a ⁵³ k u ⁵³,
24,726-87,Hefei,,"a while",726,726,ɕi²⁴kʰɐʔ⁵ʦə,87,ɕ i ²⁴ kʰ ɐ ʔ ⁵ ts ə,
25,726-88,Hefei,,"a while",726,726,ʂɐʔ⁵,88,ʂ ɐ ʔ ⁵,
26,726-89,Jinan,,"a while",726,726,xwer²¹,89,x w e r ²¹,
27,726-91,Hangzhou,,"a while",726,726,ɕjəʔ⁵əl,91,ɕ j ə ʔ ⁵ ə l,
28,726-81,Guangzhou,,"a while",726,726,ʦɐn²²,81,ts ɐ n ²²,
29,726-80,Nanchang,,"a while",726,726,ha²¹ʦɿ⁰²,80,h a ²¹ ts ɿ ⁰²,
30,726-78,Chengdu,,"a while",726,726,xər⁵⁵,78,x ə r ⁵⁵,
31,726-82,Taoyuan,,"a while",726,726,ʦəŋ⁴⁵ʦəŋ⁴⁵,82,ts ə ŋ ⁴⁵ ts ə ŋ ⁴⁵,
32,726-78,Shexian,,"a while",726,726,xã,78,x ã ∼,
33,726-89,Beijing,,"a while",726,726,i⁵⁵xwər²¹⁴,89,x w ə r ²¹⁴,
34,726-78,Kunming,,"a while",726,726,xᴀ²¹²,78,x a ²¹²,
35,726-90,Shanghai,,"a while",726,726,ɕjɪʔ⁵,90,ɕ j ɪ ʔ ⁵,
36,1577-268,Meixian,,"and",1577,1577,tʰuŋ¹¹,268,tʰ u ŋ ¹¹,
37,1577-270,Changsha,,"and",1577,1577,kən³³,270,k ə n ³³,
38,1577-272,Guiyang,,"and",1577,1577,xo²¹,272,x o ²¹,
39,1577-273,Guiyang,,"and",1577,1577,xo²¹ta⁴²,273,x o ²¹ t a ⁴²,
40,1577-277,Guiyang,,"and",1577,1577,ʦʰan⁵⁵,277,tsʰ a n ⁵⁵,
41,1577-278,Guiyang,,"and",1577,1577,ʦʰan⁵⁵ta⁴²,278,tsʰ a n ⁵⁵ t a ⁴²,
42,1577-279,Xiamen,,"and",1577,1577,kap³²,279,k a p ³²,
43,1577-270,Hefei,,"and",1577,1577,kən²¹,270,k ə n ²¹,
44,1577-272,Jinan,,"and",1577,1577,xə⁴²,272,x ə ⁴²,
45,1577-270,Jinan,,"and",1577,1577,kẽ²¹³,270,k ẽ ∼ ²¹³,
46,1577-280,Jinan,,"and",1577,1577,ʨi⁴²,280,tɕ i ⁴²,
47,1577-281,Hangzhou,,"and",1577,1577,tɑʔ⁵,281,t ɑ ʔ ⁵,
48,1577-268,Hangzhou,,"and",1577,1577,doŋ²¹³,268,d o ŋ ²¹³,
49,1577-268,Guangzhou,,"and",1577,1577,tʰoŋ²¹,268,tʰ o ŋ ²¹,
50,1577-269,Guangzhou,,"and",1577,1577,tʰoŋ²¹maj²¹,269,tʰ o ŋ ²¹ m a j ²¹,
51,1577-282,Guangzhou,,"and",1577,1577,pɔŋ⁵⁵,282,p ɔ ŋ ⁵⁵,
52,1577-283,Guangzhou,,"and",1577,1577,pɔŋ⁵³maj²¹,283,p ɔ ŋ ⁵³ m a j ²¹,
53,1577-270,Nanchang,,"and",1577,1577,kjɛn⁴²,270,k j ɛ n ⁴²,
54,1577-271,Nanchang,,"and",1577,1577,kjɛn⁴²tɑw⁰²,271,k j ɛ n ⁴² t ɑ w ⁰²,
55,1577-272,Chengdu,,"and",1577,1577,xo³¹,272,x o ³¹,
56,1577-270,Chengdu,,"and",1577,1577,kən⁵⁵,270,k ə n ⁵⁵,
57,1577-268,Chengdu,,"and",1577,1577,tʰoŋ³¹,268,tʰ o ŋ ³¹,
58,1577-272,Taoyuan,,"and",1577,1577,xwɤ¹¹,272,x w ɤ ¹¹,
59,1577-270,Taoyuan,,"and",1577,1577,kəŋ¹¹,270,k ə ŋ ¹¹,
60,1577-281,Shexian,,"and",1577,1577,taʔ²¹,281,t a ʔ ²¹,
61,1577-272,Beijing,,"and",1577,1577,xɤ³⁵,272,x ɤ ³⁵,
62,1577-270,Beijing,,"and",1577,1577,kən⁵⁵,270,k ə n ⁵⁵,
63,1577-284,Kunming,,"and",1577,1577,æ⁴⁴,284,æ ⁴⁴,
64,1577-281,Kunming,,"and",1577,1577,tᴀ³¹,281,t a ³¹,
65,1577-281,Shanghai,,"and",1577,1577,taʔ⁵,281,t a ʔ ⁵,
66,1577-285,Shanghai,,"and",1577,1577,kɔ³⁵,285,k ɔ ³⁵,
67,1847-938,Meixian,,"become sick",1847,1847,pot¹pʰjaŋ⁵³,938,p o t ¹ pʰ j a ŋ ⁵³,
68,1847-939,Changsha,,"become sick",1847,1847,pin¹¹ta,939,p i n ¹¹ t a,
