ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1277-lima,1,Bali,"ban",hand,1277,1,lima,1,l i m a
2,1230-daki,2,Bali,"ban",dirty,1230,10,daki,1,d a k i
3,634-isi,3,Bali,"ban",meat/flesh,634,103,isi,31,i s i
4,1220-ikut,4,Bali,"ban",tail,1220,105,ikut,1,i k u t
5,1219-cacing,5,Bali,"ban",worm (earthworm),1219,107,cacing,23,c a c i n g
6,1392-kutu,6,Bali,"ban",louse,1392,108,kutu,1,k u t u
7,1509-legu,7,Bali,"ban",mosquito,1509,109,legu,44,l e g u
8,2-buk,8,Bali,"ban",dust,2,11,buk,1,b u k
9,843-kekawa,9,Bali,"ban",spider,843,110,kekawa,1,k e k a w a
10,1531-carang,10,Bali,"ban",branch,1531,113,carang,9,c a r a n g
11,628-don,11,Bali,"ban",leaf,628,114,don,1,d o n
12,670-akah,12,Bali,"ban",root,670,115,akah,2,a k a h
13,239-bunga,13,Bali,"ban",flower,239,116,bunga,1,b u n g a
14,1507-woh-wohan,14,Bali,"ban",fruit,1507,117,woh-wohan,1,w o h w o h a n
15,1228-tanah,15,Bali,"ban",earth/soil,1228,119,tanah,1,t a n a h
16,763-kulit,16,Bali,"ban",skin,763,12,kulit,1,k u l i t
17,857-batu,17,Bali,"ban",stone,857,120,batu,1,b a t u
18,671-bias,18,Bali,"ban",sand,671,121,bias,26,b i a s
19,1274-uyah,19,Bali,"ban",salt,1274,125,uyah,15,u y a h
20,624-danu,20,Bali,"ban",lake,624,126,danu,1,d a n u
21,420-alas,21,Bali,"ban",woods/forest,420,127,alas,1,a l a s
22,1732-langit,22,Bali,"ban",sky,1732,128,langit,1,l a n g i t
23,1313-bulan,23,Bali,"ban",moon,1313,129,bulan,1,b u l a n
24,1430-bintang,24,Bali,"ban",star,1430,130,bintang,1,b i n t a n g
25,658-ujan,25,Bali,"ban",rain,658,133,ujan,1,u j a n
26,1150-kerug,26,Bali,"ban",thunder,1150,134,kerug,2,k e r u g
27,960-angin,27,Bali,"ban",wind,960,136,angin,1,a n g i n
28,1232-panes,28,Bali,"ban",warm,1232,138,panes,1,p a n e s
29,1287-dingin,29,Bali,"ban",cold,1287,139,dingin,1,d i n g i n
30,1726-beseg,30,Bali,"ban",wet,1726,141,beseg,1,b e s e g
31,1210-baat,31,Bali,"ban",heavy,1210,142,baat,1,b aa t
32,221-api,32,Bali,"ban",fire,221,143,api,1,a p i
33,163-badeng,33,Bali,"ban",black,163,147,badeng,22,b a d e n g
34,1335-putih,34,Bali,"ban",white,1335,148,putih,1,p u t i h
35,1394-tulang,35,Bali,"ban",bone,1394,15,tulang,1,t u l a n g
36,1424-kuning,36,Bali,"ban",yellow,1424,150,kuning,1,k u n i n g
37,1425-gadang,37,Bali,"ban",green,1425,151,gadang,28,g a d a n g
38,1202-gede,38,Bali,"ban",big,1202,153,gede,27,g e d e
39,1645-bawak,39,Bali,"ban",short,1645,154,bawak,54,b a w a k
40,1203-dawa,40,Bali,"ban",long,1203,155,dawa,33,d a w a
41,1400-tipis,41,Bali,"ban",thin,1400,156,tipis,1,t i p i s
42,1244-tebal,42,Bali,"ban",thick,1244,157,tebal,26,t e b a l
43,1991-babetukan,43,Bali,"ban",intestines,1991,16,babetukan,21,b a b e t u k a n
44,2103-sakit,44,Bali,"ban",painful, sick,2103,160,sakit,1,s a k i t
45,1229-tua,45,Bali,"ban",old,1229,162,tua,1,t u a
46,1292-beler,46,Bali,"ban",bad, evil,1292,165,beler,25,b e l e r
47,1725-beneh,47,Bali,"ban",correct, true,1725,166,beneh,1,b e n e h
48,1233-peteng,48,Bali,"ban",night,1233,167,peteng,47,p e t e n g
49,1225-dina,49,Bali,"ban",day,1225,168,dina,11,d i n a
50,1224-ati,50,Bali,"ban",liver,1224,17,ati,1,a t i
51,1238-pidan,51,Bali,"ban",when?,1238,170,pidan,1,p i d a n
52,602-mengkeb,52,Bali,"ban",to hide,602,171,mengkeb,30,m e n g k e b
53,1102-menek,53,Bali,"ban",to climb,1102,172,menek,1,m e n e k
54,1461-di,54,Bali,"ban",at,1461,173,di,20,d i
55,1606-di tengah,55,Bali,"ban",in, inside,1606,174,di tengah,22,d i _ t e n g a h
56,1741-baduur,56,Bali,"ban",above,1741,175,baduur,2,b a d uu r
57,1214-ene,57,Bali,"ban",this,1214,177,ene,1,e n e
58,1942-paek,58,Bali,"ban",near,1942,179,paek,27,p a e k
59,1402-nyonyo,59,Bali,"ban",breast,1402,18,nyonyo,3,n y o n y o
60,1406-joh,60,Bali,"ban",far,1406,180,joh,1,j o h
61,262-ia,61,Bali,"ban",he/she,262,184,ia,1,i a
62,1212-iraga,62,Bali,"ban",we,1212,185,iraga,5,i r a g a
63,1236-apa,63,Bali,"ban",what?,1236,188,apa,1,a p a
64,1482-pala,64,Bali,"ban",shoulder,1482,19,pala,1,p a l a
65,197-len,65,Bali,"ban",other,197,190,len,2,l e n
66,1577-muah,66,Bali,"ban",and,1577,192,muah,2,m u a h
67,1493-sa,67,Bali,"ban",One,1493,197,sa,1,s a
68,1498-dadua,68,Bali,"ban",Two,1498,198,dadua,1,d a d u a
69,492-telu,69,Bali,"ban",Three,492,199,telu,1,t e l u
70,1410-tawang,70,Bali,"ban",to know, be knowledgeable,1410,20,tawang,36,t a w a n g
71,1500-patpat,71,Bali,"ban",Four,1500,200,patpat,1,p a t p a t
72,493-limə,72,Bali,"ban",Five,493,201,limə,1,l i m ə
73,1703-ənəm,73,Bali,"ban",Six,1703,202,ənəm,1,ə n ə m
74,1704-pitu,74,Bali,"ban",Seven,1704,203,pitu,1,p i t u
75,1483-siə,75,Bali,"ban",Nine,1483,205,siə,5,s i ə
76,1634-satus,76,Bali,"ban",One Hundred,1634,209,satus,4,s a t u s
