ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,KATE,kmg,"I",1209,1,no,1,n o,
2,1-1,MAPE_2,mlh,"I",1209,1,no,1,n o,
3,1-2,DEDUA,ded,"I",1209,1,ni,2,n i,
4,1-2,HUBE,kgf,"I",1209,1,ni,2,n i,
5,1-2,TOBO,tbv,"I",1209,1,ni,2,n i,
6,1-2,KOSORONG,ksr,"I",1209,1,ni,2,n i,
7,1-2,MINDIK,bmu,"I",1209,1,ni,2,n i,
8,1-2,BURUM,bmu,"I",1209,1,ni,2,n i,
9,1-1,ONO,ons,"I",1209,1,na,1,n a,
10,1-1,KOMBA,kpf,"I",1209,1,no,1,n o,
11,1-1,SELEPET,spl,"I",1209,1,no,1,n o,
12,1-1,TIMBE,tim,"I",1209,1,no,1,n o,
13,1-1,NABAK,naf,"I",1209,1,n3N,1,n 3 N,
14,1-1,MOMOLILI,mci,"I",1209,1,na,1,n a,
15,2-1,KATE,kmg,"thou",1215,2,go,1,g o,
16,2-1,MAPE_2,mlh,"thou",1215,2,go,1,g o,
17,2-2,DEDUA,ded,"thou",1215,2,ge,2,g e,
18,2-2,HUBE,kgf,"thou",1215,2,gi,2,g i,
19,2-2,TOBO,tbv,"thou",1215,2,gi,2,g i,
20,2-2,KOSORONG,ksr,"thou",1215,2,gi,2,g i,
21,2-2,MINDIK,bmu,"thou",1215,2,gi,2,g i,
22,2-2,BURUM,bmu,"thou",1215,2,gi,2,g i,
23,2-2,ONO,ons,"thou",1215,2,ge,2,g e,
24,2-1,KOMBA,kpf,"thou",1215,2,go,1,g o,
25,2-1,SELEPET,spl,"thou",1215,2,go,1,g o,
26,2-1,TIMBE,tim,"thou",1215,2,go,1,g o,
27,2-1,NABAK,naf,"thou",1215,2,g3N,1,g 3 N,
28,2-1,MOMOLILI,mci,"thou",1215,2,ga,1,g a,
29,3-1,KATE,kmg,"we",1212,3,noNo7,1,n o N o 7,
30,3-1,MAPE_2,mlh,"we",1212,3,noNu,1,n o N u,
31,3-2,DEDUA,ded,"we",1212,3,nini,2,n i n i,
32,3-2,HUBE,kgf,"we",1212,3,nini,2,n i n i,
33,3-2,TOBO,tbv,"we",1212,3,nini,2,n i n i,
34,3-1,KOSORONG,ksr,"we",1212,3,nono,1,n o n o,
35,3-2,MINDIK,bmu,"we",1212,3,nini,2,n i n i,
36,3-2,BURUM,bmu,"we",1212,3,nini,2,n i n i,
37,3-3,ONO,ons,"we",1212,3,Nedo,3,N e d o,
38,3-2,KOMBA,kpf,"we",1212,3,nen,2,n e n,
39,3-2,SELEPET,spl,"we",1212,3,nen,2,n e n,
40,3-2,TIMBE,tim,"we",1212,3,nen,2,n e n,
41,3-2,NABAK,naf,"we",1212,3,nin,2,n i n,
42,3-2,MOMOLILI,mci,"we",1212,3,ni,2,n i,
43,4-1,KATE,kmg,"this",1214,4,ci,1,c i,
44,4-2,MAPE_2,mlh,"this",1214,4,oi,2,o i,
45,4-3,DEDUA,ded,"this",1214,4,i,3,i,
46,4-3,HUBE,kgf,"this",1214,4,i,3,i,
47,4-4,TOBO,tbv,"this",1214,4,mu,4,m u,
48,4-3,KOSORONG,ksr,"this",1214,4,i,3,i,
49,4-4,MINDIK,bmu,"this",1214,4,mu,4,m u,
50,4-5,BURUM,bmu,"this",1214,4,ke,5,k e,
51,4-3,ONO,ons,"this",1214,4,i,3,i,
52,4-1,KOMBA,kpf,"this",1214,4,zi,1,z i,
53,4-6,SELEPET,spl,"this",1214,4,yu,6,y u,
54,4-3,TIMBE,tim,"this",1214,4,i,3,i,
55,4-7,NABAK,naf,"this",1214,4,kapi,7,k a p i,
56,4-8,MOMOLILI,mci,"this",1214,4,wi,8,w i,
57,5-1,KATE,kmg,"that",78,5,i,1,i,
58,5-2,MAPE_2,mlh,"that",78,5,o,2,o,
59,5-3,DEDUA,ded,"that",78,5,yo,3,y o,
60,5-3,HUBE,kgf,"that",78,5,yo,3,y o,
61,5-4,TOBO,tbv,"that",78,5,mi,4,m i,
62,5-3,KOSORONG,ksr,"that",78,5,lo,3,l o,
63,5-4,MINDIK,bmu,"that",78,5,me,4,m e,
64,5-4,BURUM,bmu,"that",78,5,me,4,m e,
65,5-5,ONO,ons,"that",78,5,eri,5,e r i,
66,5-3,KOMBA,kpf,"that",78,5,zo,3,z o,
67,5-3,SELEPET,spl,"that",78,5,ya,3,y a,
68,5-6,TIMBE,tim,"that",78,5,ido,6,i d o,
69,5-7,NABAK,naf,"that",78,5,ke,7,k e,
70,5-4,MOMOLILI,mci,"that",78,5,mei,4,m e i,
71,6-1,KATE,kmg,"who",1235,6,mo7,1,m o 7,
72,6-1,MAPE_2,mlh,"who",1235,6,mo7,1,m o 7,
73,6-1,DEDUA,ded,"who",1235,6,moN,1,m o N,
74,6-1,HUBE,kgf,"who",1235,6,moN,1,m o N,
75,6-1,TOBO,tbv,"who",1235,6,moN,1,m o N,
76,6-1,KOSORONG,ksr,"who",1235,6,moN,1,m o N,
77,6-2,MINDIK,bmu,"who",1235,6,moN,2,m o N,
78,6-2,BURUM,bmu,"who",1235,6,kun,2,k u n,
79,6-3,ONO,ons,"who",1235,6,mane,3,m a n e,
80,6-4,KOMBA,kpf,"who",1235,6,Nai,4,N a i,
81,6-5,SELEPET,spl,"who",1235,6,olo,5,o l o,
82,6-6,TIMBE,tim,"who",1235,6,kio,6,k i o,
