ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,sharp-sharp:C,ANCIENT_GREEK,grc,"sharp",1396,sharp,oksýs,sharp:C,o k s ý s,
2,sharp-sharp:J,GREEK,ell,"sharp",1396,sharp,ˌko̞fte̞ˈro̞s,sharp:J,ˌk o̞ f t e̞ ˈr o̞ s,
3,sharp-sharp:D,CLASSICAL_ARMENIAN,xcl,"sharp",1396,sharp,sowr,sharp:D,s o w r,
4,sharp-sharp:D,ARMENIAN_EASTERN,hye,"sharp",1396,sharp,suɾ,sharp:D,s u ɾ,
5,sharp-sharp:A,OSSETIC,oss,"sharp",1396,sharp,tsɨrʁ,sharp:A,t s ɨ r ʁ,
6,sharp-sharp:A,OSSETIC_IRON,oss,"sharp",1396,sharp,syrʁ,sharp:A,s y r ʁ,
7,sharp-sharp:A,OSSETIC_DIGOR,oss,"sharp",1396,sharp,čirʁ,sharp:A,č i r ʁ,
8,sharp-sharp:A,BIHARI,mai,"sharp",1396,sharp,tejgər,sharp:A,t e j g ə r,
9,sharp-sharp:A,URDU,urd,"sharp",1396,sharp,t̪ez,sharp:A,t̪ e z,
10,sharp-sharp:E,MARATHI,mar,"sharp",1396,sharp,dʰaɾdaɾ,sharp:E,dʰ a ɾ d a ɾ,
11,sharp-sharp:A,MARATHI,mar,"sharp",1396,sharp,ti:kʂɳə,sharp:A,t i: k ʂ ɳ ə,
12,sharp-sharp:C,OLD_CHURCH_SLAVONIC,chu,"sharp",1396,sharp,ɔstrʊ̆,sharp:C,ɔ s t r ʊ̆,
13,sharp-sharp:C,SERBO-CROATIAN,srp,"sharp",1396,sharp,ˈɔʃtar,sharp:C,ˈɔ ʃ t a r,
14,sharp-sharp:C,BULGARIAN,bul,"sharp",1396,sharp,ˈɔstər,sharp:C,ˈɔ s t ə r,
15,sharp-sharp:C,MACEDONIAN,mkd,"sharp",1396,sharp,ˈostar,sharp:C,ˈo s t a r,
16,sharp-sharp:C,RUSSIAN,rus,"sharp",1396,sharp,ɔstrɨj,sharp:C,ɔ s t r ɨ j,
17,sharp-sharp:C,POLISH,pol,"sharp",1396,sharp,ˈɔstrɘ̟,sharp:C,ˈɔ s t r ɘ̟,
18,sharp-sharp:C,BELARUSIAN,bel,"sharp",1396,sharp,ˈvɔstrɨ,sharp:C,ˈv ɔ s t r ɨ,
19,sharp-sharp:C,UKRAINIAN,ukr,"sharp",1396,sharp,ˈɦɔstrɪj,sharp:C,ˈɦ ɔ s t r ɪ j,
20,sharp-sharp:C,SLOVAK,slk,"sharp",1396,sharp,ˈɔstriː,sharp:C,ˈɔ s t r iː,
