ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-1,Miyako,,"I",1209,1209,ban,1,b a n,
2,1209-2,Tōkyō,,"I",1209,1209,watasi,2,w a t a s i,
3,1209-1,Amami,,"I",1209,1209,waɴ,1,w a ɴ,
4,1209-2,Kyōto,,"I",1209,1209,wate,2,w a t e,
5,1209-1,Hachijō,,"I",1209,1209,ware,1,w a r e,
6,1209-1,Shuri,,"I",1209,1209,waɴ,1,w a ɴ,
7,1209-2,Kōchi,,"I",1209,1209,asi,2,a s i,
8,1209-3,Sado,,"I",1209,1209,ore,3,o r e,
9,1209-3,Oki,,"I",1209,1209,ora,3,o r a,
10,1209-3,Kagoshima,,"I",1209,1209,oiː,3,o iː,
11,1422-454,Miyako,,"alive (live)",1422,1422,nːuʦɨduaɭ,454,nː u ts ɨ d ua ɭ,
12,1422-455,Tōkyō,,"alive (live)",1422,1422,ikiteru,455,i k i t e r u,
13,1422-455,Amami,,"alive (live)",1422,1422,ʔikiʨuri,455,ʔ i k i tɕ u r i,
14,1422-455,Kyōto,,"alive (live)",1422,1422,ikiteru,455,i k i t e r u,
15,1422-455,Hachijō,,"alive (live)",1422,1422,ikite,455,i k i t e,
16,1422-455,Shuri,,"alive (live)",1422,1422,ʔiʨiʦoːɴ,455,ʔ i tɕ i ts oː ɴ,
17,1422-455,Kōchi,,"alive (live)",1422,1422,ikitʲuː,455,i k i tʲ uː,
18,1422-455,Sado,,"alive (live)",1422,1422,ikitoru,455,i k i t o r u,
19,1422-455,Oki,,"alive (live)",1422,1422,ekeʨoru,455,e k e tɕ o r u,
20,1422-455,Kagoshima,,"alive (live)",1422,1422,ikiːʨːo,455,i k iː tːɕ o,
21,98-24,Miyako,,"all",98,98,mːna,24,mː n a,
22,98-24,Tōkyō,,"all",98,98,miɴna,24,m i ɴ n a,
23,98-26,Amami,,"all",98,98,ʔaɴxaːri,26,ʔ a ɴ x aː r i,
24,98-24,Kyōto,,"all",98,98,miɴna,24,m i ɴ n a,
25,98-24,Hachijō,,"all",98,98,miɴna,24,m i ɴ n a,
26,98-24,Shuri,,"all",98,98,ɴna,24,ɴ n a,
27,98-24,Kōchi,,"all",98,98,miɴna,24,m i ɴ n a,
28,98-24,Sado,,"all",98,98,miɴna,24,m i ɴ n a,
29,98-24,Oki,,"all",98,98,ɴːna,24,ɴ̩ n a,
30,98-25,Kagoshima,,"all",98,98,sukːai,25,s u kː ai,
31,1673-289,Miyako,,"arm",1673,1673,udi,289,u d i,
32,1673-289,Tōkyō,,"arm",1673,1673,ude,289,u d e,
33,1673-291,Amami,,"arm",1673,1673,xeːnʲa,291,x eː nʲ a,
34,1673-290,Kyōto,,"arm",1673,1673,teː,290,t eː,
35,1673-289,Hachijō,,"arm",1673,1673,ude,289,u d e,
36,1673-290,Shuri,,"arm",1673,1673,tiː,290,t iː,
37,1673-289,Kōchi,,"arm",1673,1673,ude,289,u d e,
38,1673-289,Sado,,"arm",1673,1673,ude,289,u d e,
39,1673-289,Oki,,"arm",1673,1673,ode,289,o d e,
40,1673-290,Kagoshima,,"arm",1673,1673,te,290,t e,
41,646-185,Miyako,,"ash",646,646,pazɨ,185,p a z ɨ,
42,646-185,Tōkyō,,"ash",646,646,hai,185,h ai,
43,646-185,Amami,,"ash",646,646,hwe,185,h w e,
44,646-185,Kyōto,,"ash",646,646,hai,185,h ai,
45,646-185,Hachijō,,"ash",646,646,hia,185,h ia,
46,646-185,Shuri,,"ash",646,646,hweː,185,h w eː,
47,646-185,Kōchi,,"ash",646,646,hai,185,h ai,
48,646-185,Sado,,"ash",646,646,hai,185,h ai,
49,646-185,Oki,,"ash",646,646,ɸeː,185,ɸ eː,
50,646-185,Kagoshima,,"ash",646,646,hei,185,h ei,
51,1461-312,Miyako,,"at",1461,1461,n,312,n,
52,1461-313,Tōkyō,,"at",1461,1461,de,313,d e,
