ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,SIAMESE,tha,"I",1209,1,ku,1,k u,
2,1-2,ZHUANG_SOUTHERN,zzj,"I",1209,1,kau,2,k a u,
3,1-2,ZHUANG_NORTHERN,zgn,"I",1209,1,kou,2,k o u,
4,1-2,SAEK,skb,"I",1209,1,ku,2,k u,
5,1-2,SUI,swi,"I",1209,1,yu,2,y u,
6,1-3,MULAO,mlm,"I",1209,1,h3i,3,h 3 i,
7,1-2,KAM_ZHANGLU,doc,"I",1209,1,yau,2,y a u,
8,1-2,MAONAN,mmd,"I",1209,1,"h""e",2,"h"" e",
9,1-2,ONG_BE,onb,"I",1209,1,hau,2,h a u,
10,1-4,LAKKJA,lbc,"I",1209,1,ci,4,c i,
11,1-2,LI_TONGSHI,lic,"I",1209,1,hou,2,h o u,
12,1-2,LI_BAODING,lic,"I",1209,1,hou,2,h o u,
13,66-1,SIAMESE,tha,"come",1446,66,ma,1,m a,
14,66-1,ZHUANG_SOUTHERN,zzj,"come",1446,66,ma,1,m a,
15,66-1,SAEK,skb,"come",1446,66,ma,1,m a,
16,66-1,KAM_ZHANGLU,doc,"come",1446,66,ma,1,m a,
17,66-1,ONG_BE,onb,"come",1446,66,nia,1,n i a,
18,75-1,SIAMESE,tha,"water",948,75,nam,1,n a m,
19,75-1,ZHUANG_SOUTHERN,zzj,"water",948,75,nam,1,n a m,
20,75-1,ZHUANG_NORTHERN,zgn,"water",948,75,xam,1,x a m,
21,75-1,SAEK,skb,"water",948,75,nam,1,n a m,
22,75-1,SUI,swi,"water",948,75,nam,1,n a m,
23,75-1,MULAO,mlm,"water",948,75,n3m,1,n 3 m,
24,75-1,KAM_ZHANGLU,doc,"water",948,75,nam,1,n a m,
25,75-1,MAONAN,mmd,"water",948,75,nam,1,n a m,
26,75-1,ONG_BE,onb,"water",948,75,nam,1,n a m,
27,75-1,LAKKJA,lbc,"water",948,75,num,1,n u m,
28,75-1,LI_TONGSHI,lic,"water",948,75,nam,1,n a m,
29,75-1,LI_BAODING,lic,"water",948,75,nom,1,n o m,
30,86-1,SIAMESE,tha,"mountain",639,86,ph~u,1,ph~ u,also: doy
31,86-3,ZHUANG_SOUTHERN,zzj,"mountain",639,86,doN,3,d o N,
32,86-4,SUI,swi,"mountain",639,86,nu,4,n u,
33,86-5,MULAO,mlm,"mountain",639,86,px~a,5,px~ a,
34,86-6,KAM_ZHANGLU,doc,"mountain",639,86,t3n,6,t 3 n,
35,86-5,MAONAN,mmd,"mountain",639,86,koNpy~a,5,k o N py~ a,
36,86-7,ONG_BE,onb,"mountain",639,86,tia,7,t i a,
37,86-7,LAKKJA,lbc,"mountain",639,86,ky~a,7,ky~ a,
38,86-8,LI_TONGSHI,lic,"mountain",639,86,hw~ou,8,hw~ o u,
39,86-8,LI_BAODING,lic,"mountain",639,86,go,8,g o,
40,72-1,SIAMESE,tha,"sun",1343,72,dEt,1,d E t,'sunshine'
41,72-1,ZHUANG_SOUTHERN,zzj,"sun",1343,72,havan,1,h a v a n,
42,72-1,ZHUANG_NORTHERN,zgn,"sun",1343,72,taNNon,1,t a NN o n,
43,72-1,SAEK,skb,"sun",1343,72,ta53n,1,t a 5 3 n,
44,72-1,SUI,swi,"sun",1343,72,nd~avan,1,nd~ a v a n,
45,72-1,MULAO,mlm,"sun",1343,72,th~3ufan,1,th~ 3 u f a n,
46,72-1,KAM_ZHANGLU,doc,"sun",1343,72,taman,1,t a m a n,
47,72-1,MAONAN,mmd,"sun",1343,72,lakvan,1,l a k v a n,
48,72-1,ONG_BE,onb,"sun",1343,72,dav3n,1,d a v 3 n,
49,72-1,LAKKJA,lbc,"sun",1343,72,tauwan,1,t a u w a n,
50,72-1,LI_TONGSHI,lic,"sun",1343,72,ch~avan,1,ch~ a v a n,
51,72-1,LI_BAODING,lic,"sun",1343,72,ch~ahw~an,1,ch~ a hw~ a n,
52,74-1,SIAMESE,tha,"star",1430,74,daw,1,d a w,
53,74-1,ZHUANG_SOUTHERN,zzj,"star",1430,74,daudi,1,d a u d i,
54,74-1,ZHUANG_NORTHERN,zgn,"star",1430,74,daudei,1,d a u d e i,
55,74-1,SAEK,skb,"star",1430,74,traw,1,t r a w,
56,74-2,SUI,swi,"star",1430,74,z3t,2,z 3 t,
57,74-2,MULAO,mlm,"star",1430,74,lakhm3t,2,l a k h m 3 t,
58,74-2,KAM_ZHANGLU,doc,"star",1430,74,s3t,2,s 3 t,
59,74-2,MAONAN,mmd,"star",1430,74,z3t,2,z 3 t,
60,74-1,ONG_BE,onb,"star",1430,74,tiN,1,t i N,
61,74-1,LAKKJA,lbc,"star",1430,74,taublet,1,t a u b l e t,
62,74-1,LI_TONGSHI,lic,"star",1430,74,rau,1,r a u,
63,74-1,LI_BAODING,lic,"star",1430,74,rau,1,r a u,
64,11-1,SIAMESE,tha,"one",1493,11,nuN,1,n u N,
65,11-1,ZHUANG_SOUTHERN,zzj,"one",1493,11,n3N,1,n 3 N,
66,11-2,ZHUANG_NORTHERN,zgn,"one",1493,11,deu,2,d e u,
67,11-4,SUI,swi,"one",1493,11,to,4,t o,
68,11-3,MULAO,mlm,"one",1493,11,hnau,3,h n a u,
69,11-3,KAM_ZHANGLU,doc,"one",1493,11,lau,3,l a u,
70,11-4,MAONAN,mmd,"one",1493,11,dEu,4,d E u,
71,11-6,LAKKJA,lbc,"one",1493,11,in,6,i n,
72,11-5,LI_TONGSHI,lic,"one",1493,11,37,5,3 7,
73,11-7,LI_BAODING,lic,"one",1493,11,ch~e3,7,ch~ e 3,
74,12-1,SUI,swi,"two",1498,12,xa,1,x a,
75,12-1,MULAO,mlm,"two",1498,12,xa,1,x a,
76,12-1,KAM_ZHANGLU,doc,"two",1498,12,ya,1,y a,
77,12-1,MAONAN,mmd,"two",1498,12,ya,1,y a,
78,12-2,ONG_BE,onb,"two",1498,12,von,2,v o n,
79,12-3,LAKKJA,lbc,"two",1498,12,hou,3,h o u,
80,12-3,LI_TONGSHI,lic,"two",1498,12,Lau,3,L a u,
81,12-3,LI_BAODING,lic,"two",1498,12,Lau,3,L a u,
