ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,TRING,kms,"I",1209,1,Ne,1,N e,
2,1-1,WAU,kms,"I",1209,1,Ne,1,N e,
3,1-1,KAMASAU,kms,"I",1209,1,Ne,1,N e,
4,1-1,YIBAB,kms,"I",1209,1,Ne,1,N e,
5,1-1,WANDOMI,kms,"I",1209,1,Ne,1,N e,
6,1-1,KENYARI,kms,"I",1209,1,Nebi,1,N e b i,
7,1-1,SAMAP,ele,"I",1209,1,Na,1,N a,
8,66-1,TRING,kms,"come",1446,66,mandi,1,m a n d i,"=""they come"""
9,66-1,WAU,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
10,66-1,KAMASAU,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
11,66-1,YIBAB,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
12,66-1,WANDOMI,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
13,66-1,KENYARI,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
14,66-1,PARUWA,kms,"come",1446,66,mandi,1,m a n d i,"= ""they come"""
15,66-1,SAMAP,ele,"come",1446,66,maN,1,m a N,"= ""they come"""
16,75-1,TRING,kms,"water",948,75,wiye,1,w i y e,
17,75-1,WAU,kms,"water",948,75,wiye,1,w i y e,
18,75-1,KAMASAU,kms,"water",948,75,wiye,1,w i y e,
19,75-1,YIBAB,kms,"water",948,75,wiye,1,w i y e,
20,75-1,WANDOMI,kms,"water",948,75,wiye,1,w i y e,
21,75-1,KENYARI,kms,"water",948,75,wiye,1,w i y e,
22,75-1,PARUWA,kms,"water",948,75,wiye,1,w i y e,
23,75-1,SAMAP,ele,"water",948,75,wiye,1,w i y e,
24,86-1,TRING,kms,"mountain",639,86,rand,1,r a n d,
25,86-1,WAU,kms,"mountain",639,86,rand,1,r a n d,
26,86-1,KAMASAU,kms,"mountain",639,86,rand,1,r a n d,
27,86-1,YIBAB,kms,"mountain",639,86,rand,1,r a n d,
28,86-1,WANDOMI,kms,"mountain",639,86,randig,1,r a n d i g,
29,86-1,KENYARI,kms,"mountain",639,86,randi,1,r a n d i,
30,86-2,SAMAP,ele,"mountain",639,86,paNg,2,p a N g,
31,72-1,TRING,kms,"sun",1343,72,Ni5,1,N i 5,
32,72-1,WAU,kms,"sun",1343,72,Ni5,1,N i 5,
33,72-2,KAMASAU,kms,"sun",1343,72,bogi,2,b o g i,
34,72-1,YIBAB,kms,"sun",1343,72,Ni5,1,N i 5,
35,72-1,WANDOMI,kms,"sun",1343,72,gi5,1,g i 5,
36,72-1,KENYARI,kms,"sun",1343,72,Ni5,1,N i 5,
37,72-1,PARUWA,kms,"sun",1343,72,Neni,1,N e n i,
38,72-2,SAMAP,ele,"sun",1343,72,bwog,2,b w o g,
39,74-1,TRING,kms,"star",1430,74,tomiNgi,1,t o m i N g i,
40,74-1,WAU,kms,"star",1430,74,tomiNgi,1,t o m i N g i,
41,74-1,KAMASAU,kms,"star",1430,74,domiNgi,1,d o m i N g i,
42,74-2,YIBAB,kms,"star",1430,74,tem,2,t e m,
43,74-2,WANDOMI,kms,"star",1430,74,tem,2,t e m,
44,74-1,KENYARI,kms,"star",1430,74,pomi7i,1,p o m i 7 i,
45,74-3,SAMAP,ele,"star",1430,74,mutami,3,m u t a m i,
46,11-1,TRING,kms,"one",1493,11,iri,1,i r i,also: temi
47,11-1,WAU,kms,"one",1493,11,iri,1,i r i,also: tremi
48,11-1,KAMASAU,kms,"one",1493,11,iri,1,i r i,also: temi
49,11-1,YIBAB,kms,"one",1493,11,iri,1,i r i,also: temi
50,11-1,WANDOMI,kms,"one",1493,11,iri,1,i r i,also: temi
51,11-1,KENYARI,kms,"one",1493,11,iri,1,i r i,also: meremi
52,11-1,PARUWA,kms,"one",1493,11,ri,1,r i,also: mremi
53,11-2,SAMAP,ele,"one",1493,11,ki,2,k i,also: meremi
54,12-1,TRING,kms,"two",1498,12,teri,1,t e r i,
55,12-1,WAU,kms,"two",1498,12,teri,1,t e r i,
56,12-1,KAMASAU,kms,"two",1498,12,teri,1,t e r i,
57,12-1,YIBAB,kms,"two",1498,12,teri,1,t e r i,
58,12-1,WANDOMI,kms,"two",1498,12,teri,1,t e r i,
59,12-2,KENYARI,kms,"two",1498,12,mereyi,2,m e r e y i,
60,12-2,SAMAP,ele,"two",1498,12,merere,2,m e r e r e,
61,77-1,TRING,kms,"stone",857,77,wet,1,w e t,
62,77-1,WAU,kms,"stone",857,77,wet,1,w e t,
63,77-1,KAMASAU,kms,"stone",857,77,wet,1,w e t,
64,77-1,YIBAB,kms,"stone",857,77,wet,1,w e t,
65,77-1,WANDOMI,kms,"stone",857,77,wet,1,w e t,
66,77-1,KENYARI,kms,"stone",857,77,weh,1,w e h,
67,77-1,PARUWA,kms,"stone",857,77,wa,1,w a,
68,28-1,TRING,kms,"skin",763,28,CoNgo,1,C o N g o,
69,28-1,WAU,kms,"skin",763,28,CoNgo,1,C o N g o,
70,28-1,KAMASAU,kms,"skin",763,28,CoNgo,1,C o N g o,
71,28-1,YIBAB,kms,"skin",763,28,CaNgo,1,C a N g o,
72,28-1,KENYARI,kms,"skin",763,28,CaNgwo,1,C a N g w o,
73,28-1,PARUWA,kms,"skin",763,28,Cangwo,1,C a n g w o,
74,28-2,SAMAP,ele,"skin",763,28,jogo,2,j o g o,
75,82-1,TRING,kms,"fire",221,82,wase,1,w a s e,
76,82-1,WAU,kms,"fire",221,82,wase,1,w a s e,
77,82-1,KAMASAU,kms,"fire",221,82,wase,1,w a s e,
78,82-1,YIBAB,kms,"fire",221,82,wate,1,w a t e,
79,82-1,WANDOMI,kms,"fire",221,82,wate,1,w a t e,
80,82-1,KENYARI,kms,"fire",221,82,waha,1,w a h a,
81,82-1,PARUWA,kms,"fire",221,82,waha,1,w a h a,
82,82-1,SAMAP,ele,"fire",221,82,wate,1,w a t e,
83,19-1,TRING,kms,"fish",227,19,umo,1,u m o,
84,19-1,WAU,kms,"fish",227,19,7umo,1,7 u m o,
85,19-1,KAMASAU,kms,"fish",227,19,umo,1,u m o,
86,19-1,YIBAB,kms,"fish",227,19,7umo,1,7 u m o,
87,19-1,WANDOMI,kms,"fish",227,19,umo,1,u m o,
88,19-1,KENYARI,kms,"fish",227,19,7umo,1,7 u m o,
89,19-1,SAMAP,ele,"fish",227,19,7uma,1,7 u m a,
90,21-1,TRING,kms,"dog",2009,21,5ombwi,1,5 o m b w i,
91,21-1,WAU,kms,"dog",2009,21,5ombwi,1,5 o m b w i,
92,21-1,KAMASAU,kms,"dog",2009,21,5ombwi,1,5 o m b w i,
93,21-2,YIBAB,kms,"dog",2009,21,7et,2,7 e t,
94,21-2,WANDOMI,kms,"dog",2009,21,yet,2,y e t,
95,21-1,KENYARI,kms,"dog",2009,21,5ombwi,1,5 o m b w i,
96,21-1,PARUWA,kms,"dog",2009,21,5ombwi,1,5 o m b w i,
97,21-1,SAMAP,ele,"dog",2009,21,5amp,1,5 a m p,
98,22-1,TRING,kms,"louse",1392,22,3mbiski,1,3 m b i s k i,
99,22-1,WAU,kms,"louse",1392,22,mbiski,1,m b i s k i,
100,22-1,KAMASAU,kms,"louse",1392,22,mbiski,1,m b i s k i,
101,22-1,YIBAB,kms,"louse",1392,22,mbit,1,m b i t,
102,22-1,WANDOMI,kms,"louse",1392,22,mbit,1,m b i t,
103,22-2,KENYARI,kms,"louse",1392,22,pinji,2,p i n j i,
104,22-2,PARUWA,kms,"louse",1392,22,pinji,2,p i n j i,
105,22-1,SAMAP,ele,"louse",1392,22,mbite,1,m b i t e,
106,23-1,TRING,kms,"tree",906,23,5umo,1,5 u m o,
107,23-1,WAU,kms,"tree",906,23,5umo,1,5 u m o,
108,23-1,KAMASAU,kms,"tree",906,23,5umo,1,5 u m o,
109,23-1,YIBAB,kms,"tree",906,23,5umo,1,5 u m o,
110,23-1,WANDOMI,kms,"tree",906,23,5umo,1,5 u m o,
111,23-1,KENYARI,kms,"tree",906,23,5umo,1,5 u m o,
112,23-1,PARUWA,kms,"tree",906,23,5imer,1,5 i m e r,
113,23-1,SAMAP,ele,"tree",906,23,yuma,1,y u m a,
114,25-1,TRING,kms,"leaf",628,25,ra7e,1,r a 7 e,
115,25-1,WAU,kms,"leaf",628,25,ra7e,1,r a 7 e,
116,25-1,KAMASAU,kms,"leaf",628,25,ra7e,1,r a 7 e,
117,25-2,YIBAB,kms,"leaf",628,25,yam,2,y a m,
118,25-1,WANDOMI,kms,"leaf",628,25,ra,1,r a,
119,25-3,KENYARI,kms,"leaf",628,25,njau,3,n j a u,
120,25-4,PARUWA,kms,"leaf",628,25,mane,4,m a n e,
121,25-1,SAMAP,ele,"leaf",628,25,re7e,1,r e 7 e,
122,92-1,TRING,kms,"night",1233,92,bur,1,b u r,
123,92-1,WAU,kms,"night",1233,92,bur,1,b u r,
124,92-1,KAMASAU,kms,"night",1233,92,bur,1,b u r,
125,92-1,YIBAB,kms,"night",1233,92,bur,1,b u r,
126,92-1,WANDOMI,kms,"night",1233,92,bur,1,b u r,
127,92-2,KENYARI,kms,"night",1233,92,wuNgi,2,w u N g i,
128,92-2,SAMAP,ele,"night",1233,92,wuNga,2,w u N g a,
129,30-1,TRING,kms,"blood",946,30,yab3,1,y a b 3,
130,30-1,WAU,kms,"blood",946,30,yab3,1,y a b 3,
