ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,BURMESE,mya,"I",1209,1,kyw$antau,1,kyw$ a n t a u,
2,1-2,ZAIWA,atb,"I",1209,1,No,2,N o,
3,1-2,AKHA,ahk,"I",1209,1,Na,2,N a,
4,1-2,BIYUE,byo,"I",1209,1,Na,2,N a,
5,1-2,MPI,mpz,"I",1209,1,No,2,N o,
6,1-2,BISU,bzi,"I",1209,1,ga,2,g a,
7,1-2,JINO,jiu,"I",1209,1,No,2,N o,
8,1-2,LAHU,lhu,"I",1209,1,Na,2,N a,
9,1-2,XIDE,iii,"I",1209,1,Na,2,N a,
10,1-2,DAFANG,yig,"I",1209,1,No,2,N o,
11,1-2,NANJIANG,ywt,"I",1209,1,No,2,N o,
12,1-2,LISU,lis,"I",1209,1,Nua,2,N u a,
13,1-2,NUSU,nuf,"I",1209,1,Na,2,N a,
14,1-2,ACHANG,acn,"I",1209,1,No,2,N o,
15,1-2,NAXI,nbf,"I",1209,1,N3,2,N 3,
16,66-1,BURMESE,mya,"come",1446,66,la,1,l a,
17,66-1,ZAIWA,atb,"come",1446,66,le,1,l e,
18,66-1,AKHA,ahk,"come",1446,66,la7,1,l a 7,
19,66-1,BIYUE,byo,"come",1446,66,la,1,l a,also: l3
20,66-1,MPI,mpz,"come",1446,66,lo,1,l o,also: l3
21,66-1,BISU,bzi,"come",1446,66,la,1,l a,also: l3
22,66-1,JINO,jiu,"come",1446,66,lo,1,l o,
23,66-1,LAHU,lhu,"come",1446,66,la,1,l a,
24,66-1,XIDE,iii,"come",1446,66,la,1,l a,
25,66-1,DAFANG,yig,"come",1446,66,lo,1,l o,also: li
26,66-1,NANJIANG,ywt,"come",1446,66,la,1,l a,
27,66-1,LISU,lis,"come",1446,66,la,1,l a,
28,66-1,NUSU,nuf,"come",1446,66,la,1,l a,
29,66-2,ACHANG,acn,"come",1446,66,Z3,2,Z 3,
30,66-2,NAXI,nbf,"come",1446,66,l3,2,l 3,also: ch~3
31,75-1,BURMESE,mya,"water",948,75,riy,1,r i y,
32,75-1,ZAIWA,atb,"water",948,75,iCh~o,1,i Ch~ o,
33,75-1,AKHA,ahk,"water",948,75,ity~u,1,i ty~ u,
34,75-1,BIYUE,byo,"water",948,75,vch~v7,1,v ch~ v 7,
35,75-3,MPI,mpz,"water",948,75,ch~o7,3,ch~ o 7,
36,75-4,BISU,bzi,"water",948,75,laN,4,l a N,
37,75-1,JINO,jiu,"water",948,75,e Ch~o,1,e _ Ch~ o,
38,75-1,LAHU,lhu,"water",948,75,ika7,1,i k a 7,
39,75-1,XIDE,iii,"water",948,75,y3,1,y 3,
40,75-1,DAFANG,yig,"water",948,75,yi,1,y i,
41,75-1,NANJIANG,ywt,"water",948,75,x3,1,x 3,
42,75-1,LISU,lis,"water",948,75,ejE,1,e j E,
43,75-1,NUSU,nuf,"water",948,75,rigra,1,r i g r a,
44,75-4,ACHANG,acn,"water",948,75,ti,4,t i,
45,75-1,NAXI,nbf,"water",948,75,dy~i,1,dy~ i,
46,86-1,BURMESE,mya,"mountain",639,86,tauN,1,t a u N,
47,86-2,ZAIWA,atb,"mountain",639,86,pum,2,p u m,
48,86-3,AKHA,ahk,"mountain",639,86,gody~o,3,g o dy~ o,
49,86-4,BIYUE,byo,"mountain",639,86,yumo,4,y u m o,
50,86-2,MPI,mpz,"mountain",639,86,opy~o,2,o py~ o,
51,86-5,BISU,bzi,"mountain",639,86,tasE,5,t a s E,
52,86-5,JINO,jiu,"mountain",639,86,x3 th~a,5,x 3 _ th~ a,
53,86-3,LAHU,lhu,"mountain",639,86,qh~o,3,qh~ o,
54,86-2,XIDE,iii,"mountain",639,86,bo,2,b o,
55,86-2,DAFANG,yig,"mountain",639,86,b3,2,b 3,
56,86-3,NANJIANG,ywt,"mountain",639,86,kh~uj3,3,kh~ u j 3,
57,86-3,LISU,lis,"mountain",639,86,ko,3,k o,
58,86-7,NUSU,nuf,"mountain",639,86,5ua,7,5 u a,also: la*
59,86-2,ACHANG,acn,"mountain",639,86,pum,2,p u m,
60,86-3,NAXI,nbf,"mountain",639,86,ko,3,k o,also: nd~y
61,72-1,BURMESE,mya,"sun",1343,72,niy,1,n i y,
62,72-2,ZAIWA,atb,"sun",1343,72,pui,2,p u i,
63,72-1,AKHA,ahk,"sun",1343,72,naNma,1,n a N m a,
