ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,HUASTEC,hva,"I",1209,1,in,1,i n,also: nana7
2,1-6,TOJOLABAL,toj,"I",1209,1,ken,6,k e n,also: kena
3,1-1,CHUJ,cnm,"I",1209,1,in,1,i n,
4,1-1,JACALTEC,jai,"I",1209,1,haninan,1,h a n i n a n,
5,1-2,QANJOBAL_SANTA_EULALIA,kjb,"I",1209,1,ayinti,2,a y i n t i,
6,1-1,ACATECO_SAN_MIGUEL_ACATAN,knj,"I",1209,1,hain,1,h a i n,
7,1-1,IXIL_CHAJUL,ixj,"I",1209,1,in,1,i n,
8,1-1,AGUACATEC,agu,"I",1209,1,in,1,i n,
9,1-3,TECO_TECTITAN,ttc,"I",1209,1,a7in,3,a 7 i n,
10,1-2,MAM_NORTHERN,mam,"I",1209,1,ayine,2,a y i n e,
11,1-1,SIPAKAPENSE,qum,"I",1209,1,in,1,i n,
12,1-3,SACAPULTECO_SACAPULAS_CENTRO,quv,"I",1209,1,ra7in,3,r a 7 i n,
13,1-1,CENTRAL_QUICHE,quc,"I",1209,1,in,1,i n,
14,1-2,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,ckf,"I",1209,1,yin,2,y i n,
15,1-1,TZUTUJIL_SAN_JUAN_LA_LAGUNA,tzj,"I",1209,1,inin,1,i n i n,
16,1-4,POQOMCHI_WESTERN,pob,"I",1209,1,hin,4,h i n,
17,1-4,POCOMAM_EASTERN,poa,"I",1209,1,hin,4,h i n,
18,1-1,USPANTEKO,usp,"I",1209,1,in,1,i n,
19,1-3,EASTERN_KEKCHI_CAHABON,kek,"I",1209,1,ha7in,3,h a 7 i n,
20,1-5,TZELTAL_BACHAJON,tzb,"I",1209,1,ho7on,5,h o 7 o n,
21,1-5,CHOL_TUMBALA,ctu,"I",1209,1,ho5on,5,h o 5 o n,
22,1-1,CHORTI,caa,"I",1209,1,en,1,e n,
23,1-1,ITZAJ,itz,"I",1209,1,ten,1,t e n,
24,1-1,MOPAN,mop,"I",1209,1,innen,1,i nn e n,
25,1-1,MAYA_YUCATAN,yua,"I",1209,1,en,1,e n,
26,2-1,HUASTEC,hva,"you",1213,2,it,1,i t,also: ata7
27,2-3,TOJOLABAL,toj,"you",1213,2,wen,3,w e n,also: wena
28,2-1,CHUJ,cnm,"you",1213,2,aC,1,a C,also: eStik
29,2-1,JACALTEC,jai,"you",1213,2,haC,1,h a C,also: heS
30,2-1,QANJOBAL_SANTA_EULALIA,kjb,"you",1213,2,aCti,1,a C t i,
31,2-1,ACATECO_SAN_MIGUEL_ACATAN,knj,"you",1213,2,haCti7,1,h a C t i 7,
32,2-4,IXIL_CHAJUL,ixj,"you",1213,2,ah,4,a h,
33,2-5,AGUACATEC,agu,"you",1213,2,aS,5,a S,also: e7u7
34,2-6,TECO_TECTITAN,ttc,"you",1213,2,a7iC,6,a 7 i C,
35,2-7,MAM_NORTHERN,mam,"you",1213,2,aya,7,a y a,also: aqye
36,2-1,SIPAKAPENSE,qum,"you",1213,2,at,1,a t,
37,2-2,SACAPULTECO_SACAPULAS_CENTRO,quv,"you",1213,2,ra7at,2,r a 7 a t,
38,2-1,CENTRAL_QUICHE,quc,"you",1213,2,at,1,a t,
39,2-2,SOUTHERN_CAKCHIQUEL_SAN_ANDRES_ITZAPA,ckf,"you",1213,2,rat,2,r a t,
40,2-1,TZUTUJIL_SAN_JUAN_LA_LAGUNA,tzj,"you",1213,2,atet,1,a t e t,
41,2-1,POQOMCHI_WESTERN,pob,"you",1213,2,hat,1,h a t,
42,2-1,POCOMAM_EASTERN,poa,"you",1213,2,hat,1,h a t,
43,2-1,USPANTEKO,usp,"you",1213,2,at,1,a t,
44,2-1,EASTERN_KEKCHI_CAHABON,kek,"you",1213,2,ha7at,1,h a 7 a t,
45,2-1,ZINACANTAN_TZOTZIL,tzz,"you",1213,2,vot,1,v o t,also: voSuk
46,2-1,TZELTAL_BACHAJON,tzb,"you",1213,2,ha7at,1,h a 7 a t,
47,2-1,CHOL_TUMBALA,ctu,"you",1213,2,hatet,1,h a t e t,
48,2-8,CHONTAL_TABASCO,chf,"you",1213,2,ane,8,a n e,
49,2-9,CHORTI,caa,"you",1213,2,et,9,e t,also: noS
50,2-10,ITZAJ,itz,"you",1213,2,teC,10,t e C,
51,2-11,MOPAN,mop,"you",1213,2,inCeC,11,i n C e C,
52,2-1,MAYA_YUCATAN,yua,"you",1213,2,eC,1,e C,also: aw
53,3-6,HUASTEC,hva,"we",1212,3,wawa7,6,w a w a 7,
54,3-7,TOJOLABAL,toj,"we",1212,3,kent~ik,7,k e nt~ i k,
55,3-1,CHUJ,cnm,"we",1212,3,oN,1,o N,
56,3-8,JACALTEC,jai,"we",1212,3,haNoNaN,8,h a N o N a N,
57,3-4,QANJOBAL_SANTA_EULALIA,kjb,"we",1212,3,aonti,4,a o n t i,also: ayonti
