ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,NORTH_HIGHLAND_MIXE,mto,"I",1209,1,3c,1,3 c,
2,1-1,SOUTH_HIGHLAND_MIXE,mxp,"I",1209,1,3c,1,3 c,
3,1-1,LOWLAND_MIXE,mco,"I",1209,1,3C,1,3 C,
4,1-1,SAYULA_POPOLUCA,pos,"I",1209,1,3c,1,3 c,
5,1-1,OLUTA_POPOLUCA,plo,"I",1209,1,3s,1,3 s,
6,1-1,TEXISTEPEC_ZOQUE,poq,"I",1209,1,3c37,1,3 c 3 7,
7,1-1,SOTEAPAN_ZOQUE,poi,"I",1209,1,3C,1,3 C,
8,1-1,MARIA_CHIMALAPA,zoh,"I",1209,1,3cci7,1,3 cc i 7,
9,1-2,MIGUEL_CHIMALAPA,zoh,"I",1209,1,d3S,2,d 3 S,
10,1-1,CHIAPAS_ZOQUE,zoc,"I",1209,1,3h,1,3 h,
11,2-1,NORTH_HIGHLAND_MIXE,mto,"thou",1215,2,mic,1,m i c,
12,2-1,SOUTH_HIGHLAND_MIXE,mxp,"thou",1215,2,mec,1,m e c,
13,2-1,LOWLAND_MIXE,mco,"thou",1215,2,miC,1,m i C,
14,2-1,SAYULA_POPOLUCA,pos,"thou",1215,2,mi,1,m i,also: miC
15,2-1,OLUTA_POPOLUCA,plo,"thou",1215,2,mis,1,m i s,
16,2-1,TEXISTEPEC_ZOQUE,poq,"thou",1215,2,biC,1,b i C,
17,2-1,SOTEAPAN_ZOQUE,poi,"thou",1215,2,miC,1,m i C,
18,2-1,MARIA_CHIMALAPA,zoh,"thou",1215,2,micci7,1,m i cc i 7,
19,2-1,MIGUEL_CHIMALAPA,zoh,"thou",1215,2,miS,1,m i S,
20,2-1,CHIAPAS_ZOQUE,zoc,"thou",1215,2,mih,1,m i h,
21,3-1,NORTH_HIGHLAND_MIXE,mto,"we",1212,3,3c,1,3 c,
22,3-1,SOUTH_HIGHLAND_MIXE,mxp,"we",1212,3,3c,1,3 c,
23,3-1,LOWLAND_MIXE,mco,"we",1212,3,3C aht,1,3 C _ a h t,
24,3-1,SAYULA_POPOLUCA,pos,"we",1212,3,3hcat,1,3 h c a t,
25,3-1,OLUTA_POPOLUCA,plo,"we",1212,3,3catek,1,3 c a t e k,
26,3-1,TEXISTEPEC_ZOQUE,poq,"we",1212,3,3c ta7,1,3 c _ t a 7,
27,3-2,MARIA_CHIMALAPA,zoh,"we",1212,3,newiny~nen,2,n e w i ny~ n e n,
28,3-2,MIGUEL_CHIMALAPA,zoh,"we",1212,3,neywin,2,n e y w i n,
29,3-3,CHIAPAS_ZOQUE,zoc,"we",1212,3,t3h,3,t 3 h,
30,4-1,NORTH_HIGHLAND_MIXE,mto,"this",1214,4,y37e,1,y 3 7 e,
