ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1-1,JEH,jeh,"I",1209,1,aut,1,a u t,
2,1-2,BAHNAR,bdq,"I",1209,1,i5,2,i 5,
3,1-2,CHRAU,crw,"I",1209,1,a5,2,a 5,also: i5
4,1-3,VIETNAMESE,vie,"I",1209,1,toi,3,t o i,
5,1-2,MON,mnw,"I",1209,1,ay,2,a y,
6,1-2,NYAKUR,cbn,"I",1209,1,e5,2,e 5,
7,1-4,KHMER,khm,"I",1209,1,kh~3nom,4,kh~ 3 n o m,
8,1-2,SEMAI,sea,"I",1209,1,E5,2,E 5,
9,1-1,WA,wbm,"I",1209,1,37,1,3 7,
10,1-2,KSINMUL,puo,"I",1209,1,a5,2,a 5,
11,1-2,MUNDARI,unr,"I",1209,1,ain,2,a i n,
12,2-1,JEH,jeh,"you",1213,2,mi,1,m i,
13,2-1,CHRAU,crw,"you",1213,2,mai,1,m a i,also: ai
14,2-1,VIETNAMESE,vie,"you",1213,2,may,1,m a y,also: ti
15,2-1,RUC,scb,"you",1213,2,mi,1,m i,
16,2-3,MON,mnw,"you",1213,2,beh,3,b e h,
17,2-3,NYAKUR,cbn,"you",1213,2,ph~eh,3,ph~ e h,
18,2-4,KHMER,khm,"you",1213,2,EN,4,E N,
19,2-1,KUI_THAILAND,kdt,"you",1213,2,muaN,1,m u a N,
20,2-2,SEMAI,sea,"you",1213,2,hE7,2,h E 7,
21,2-1,WA,wbm,"you",1213,2,mai7,1,m a i 7,
22,2-1,DEANG,pce,"you",1213,2,moi,1,m o i,
23,2-1,KHMU,kjg,"you",1213,2,me,1,m e,
24,2-1,KSINMUL,puo,"you",1213,2,mih,1,m i h,
25,2-1,KHASI,kha,"you",1213,2,me,1,m e,
26,2-1,MUNDARI,unr,"you",1213,2,am,1,a m,
27,3-1,JEH,jeh,"we",1212,3,yuan,1,y u a n,
28,3-1,BAHNAR,bdq,"we",1212,3,5on,1,5 o n,
29,3-10,CHRAU,crw,"we",1212,3,von,10,v o n,also: kh~ana5
30,3-2,VIETNAMESE,vie,"we",1212,3,ta,2,t a,also: mi5
31,3-3,RUC,scb,"we",1212,3,Cupa,3,C u p a,
32,3-4,MON,mnw,"we",1212,3,puiy,4,p u i y,
33,3-4,NYAKUR,cbn,"we",1212,3,pEy,4,p E y,
34,3-5,KHMER,khm,"we",1212,3,ya3N,5,y a 3 N,
35,3-6,KUI_THAILAND,kdt,"we",1212,3,mh~ai,6,mh~ a i,
36,3-7,SEMAI,sea,"we",1212,3,Zi7,7,Z i 7,
37,3-7,WA,wbm,"we",1212,3,yi7,7,y i 7,
38,3-7,DEANG,pce,"we",1212,3,y3i,7,y 3 i,
39,3-7,KSINMUL,puo,"we",1212,3,zi,7,z i,
40,3-9,MUNDARI,unr,"we",1212,3,ale,9,a l e,
41,4-1,JEH,jeh,"this",1214,4,mou,1,m o u,
42,4-1,BAHNAR,bdq,"this",1214,4,nou,1,n o u,
43,4-3,RUC,scb,"this",1214,4,ni,3,n i,
44,4-4,MON,mnw,"this",1214,4,na7,4,n a 7,
