ID,Cognateset_ID,Language_ID,ISO639P3code,Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-82,North Mansi,,"I",1209,1209,am,82,a m,
2,1209-82,Middle Lozva Mansi,,"I",1209,1209,æm,82,æ m,
3,1209-82,Lower Lozva Mansi,,"I",1209,1209,am,82,a m,
4,1209-82,Pelymka Mansi,,"I",1209,1209,ɔm,82,ɔ m,
5,1209-82,Konda Mansi,,"I",1209,1209,ɔm,82,ɔ m,
6,1209-82,Tavda Mansi,,"I",1209,1209,æm,82,æ m,
7,1209-82,Vakh Khanty,,"I",1209,1209,mæː,82,m æː,
8,1209-82,Vasjugan Khanty,,"I",1209,1209,mæː,82,m æː,
9,1209-82,Tremjugan Khanty,,"I",1209,1209,mæː,82,m æː,
10,1209-82,Jugan Khanty,,"I",1209,1209,mæː,82,m æː,
11,1209-82,Upper Demjanka Khanty,,"I",1209,1209,mæːn,82,m æː n,
12,1209-82,Konda Khanty,,"I",1209,1209,mæn,82,m æ n,
13,1209-82,Nizjam Khanty,,"I",1209,1209,maː,82,m aː,
14,1209-82,Sherkaly Khanty,,"I",1209,1209,maː,82,m aː,
15,1209-82,Kazym Khanty,,"I",1209,1209,maː,82,m aː,
16,1209-82,Synja Khanty,,"I",1209,1209,maː,82,m aː,
17,1209-82,Obdorsk Khanty,,"I",1209,1209,mæː,82,m æː,
18,98-1,North Mansi,,"all",98,98,pusən,1,p u s ə n,
19,98-1,Middle Lozva Mansi,,"all",98,98,puʃn,1,p u ʃ n,
20,98-2,Lower Lozva Mansi,,"all",98,98,ʃaq,2,ʃ a q,
21,98-2,Pelymka Mansi,,"all",98,98,ʃoq,2,ʃ o q,
22,98-2,Konda Mansi,,"all",98,98,soq,2,s o q,
23,98-2,Tavda Mansi,,"all",98,98,ʃɔχ,2,ʃ ɔ χ,
24,98-3,Vakh Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
25,98-3,Verkhne-Kalymsk Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
26,98-3,Vartovskoje Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
27,98-3,Likrisovskoje Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
28,98-3,Malyj Jugan Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
29,98-3,Tremjugan Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
30,98-3,Jugan Khanty,,"all",98,98,ejnæːm,3,e j n æː m,
31,98-4,Upper Demjanka Khanty,,"all",98,98,χarnaː,4,χ a r n aː,
32,98-5,Konda Khanty,,"all",98,98,pertæː,5,p e r t æː,
33,98-6,Nizjam Khanty,,"all",98,98,isaχaːt,6,i s a χ aː t,
34,98-6,Sherkaly Khanty,,"all",98,98,isaːt,6,i s aː t,
35,98-6,Kazym Khanty,,"all",98,98,isaː,6,i s aː,
36,98-6,Synja Khanty,,"all",98,98,isaː,6,i s aː,
37,646-8,North Mansi,,"ashes",646,646,χuʎəm,8,χ u ʎ ə m,
38,646-8,Middle Lozva Mansi,,"ashes",646,646,quʎəm,8,q u ʎ ə m,
39,646-8,Lower Lozva Mansi,,"ashes",646,646,quʎəm,8,q u ʎ ə m,
40,646-8,Konda Mansi,,"ashes",646,646,quʎəm,8,q u ʎ ə m,
41,646-8,Tavda Mansi,,"ashes",646,646,qoːʎəm,8,q oː ʎ ə m,
42,646-9,Vakh Khanty,,"ashes",646,646,pæːr,9,p æː r,
43,646-9,Vasjugan Khanty,,"ashes",646,646,pæːr,9,p æː r,
44,646-9,Tremjugan Khanty,,"ashes",646,646,næːjpæːr,9,n æː j p æː r,
45,646-9,Jugan Khanty,,"ashes",646,646,næːjpæːr,9,n æː j p æː r,
46,646-8,Upper Demjanka Khanty,,"ashes",646,646,χoːjəm,8,χ oː j ə m,
47,646-8,Konda Khanty,,"ashes",646,646,χoːjəm,8,χ oː j ə m,
48,646-8,Nizjam Khanty,,"ashes",646,646,χɔːjəm,8,χ ɔː j ə m,
49,646-8,Sherkaly Khanty,,"ashes",646,646,χɔːjəm,8,χ ɔː j ə m,
50,646-7,Kazym Khanty,,"ashes",646,646,raːtχiʃ,7,r aː t χ i ʃ,
51,646-7,Obdorsk Khanty,,"ashes",646,646,ræːtχis,7,r æː t χ i s,
52,1204-11,Vakh Khanty,,"bark",1204,1204,kæːr,11,k æː r,
53,1204-11,Verkhne-Kalymsk Khanty,,"bark",1204,1204,kæːr,11,k æː r,
54,1204-11,Vasjugan Khanty,,"bark",1204,1204,kæːr,11,k æː r,
55,1204-11,Likrisovskoje Khanty,,"bark",1204,1204,kæːr,11,k æː r,
56,1204-11,Malyj Jugan Khanty,,"bark",1204,1204,kæːr,11,k æː r,
57,1204-11,Tremjugan Khanty,,"bark",1204,1204,kæːr,11,k æː r,
58,1204-11,Jugan Khanty,,"bark",1204,1204,kæːr,11,k æː r,
59,1204-11,Upper Demjanka Khanty,,"bark",1204,1204,kæːr,11,k æː r,
60,1204-11,Konda Khanty,,"bark",1204,1204,kæːr,11,k æː r,
61,1204-11,Nizjam Khanty,,"bark",1204,1204,kaːr,11,k aː r,
62,1204-11,Kazym Khanty,,"bark",1204,1204,kaːr,11,k aː r,
63,1204-11,Obdorsk Khanty,,"bark",1204,1204,kæːr,11,k æː r,
64,1251-12,North Mansi,,"belly",1251,1251,sorɨɣ,12,s o r ɨ ɣ,
65,1251-12,Middle Lozva Mansi,,"belly",1251,1251,sɔr,12,s ɔ r,
66,1251-12,Pelymka Mansi,,"belly",1251,1251,sori,12,s o r i,
67,1251-13,Vakh Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
68,1251-13,Verkhne-Kalymsk Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
69,1251-13,Vasjugan Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
70,1251-13,Vartovskoje Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
71,1251-13,Likrisovskoje Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
72,1251-13,Malyj Jugan Khanty,,"belly",1251,1251,kon,13,k o n,
73,1251-13,Tremjugan Khanty,,"belly",1251,1251,koɳ,13,k o ɳ,
74,1251-13,Jugan Khanty,,"belly",1251,1251,kon,13,k o n,
75,1251-14,Upper Demjanka Khanty,,"belly",1251,1251,poːrəχ,14,p oː r ə χ,
76,1251-13,Konda Khanty,,"belly",1251,1251,χon,13,χ o n,
77,1251-13,Nizjam Khanty,,"belly",1251,1251,χon,13,χ o n,
78,1251-13,Sherkaly Khanty,,"belly",1251,1251,χon,13,χ o n,
79,1251-13,Kazym Khanty,,"belly",1251,1251,χoɳ,13,χ o ɳ,
80,1251-13,Synja Khanty,,"belly",1251,1251,χoɳ,13,χ o ɳ,
81,1251-13,Obdorsk Khanty,,"belly",1251,1251,χon,13,χ o n,
82,1202-15,North Mansi,,"big",1202,1202,jænɨɣ,15,j æ n ɨ ɣ,
83,1202-15,Middle Lozva Mansi,,"big",1202,1202,jæni,15,j æ n i,
84,1202-15,Lower Lozva Mansi,,"big",1202,1202,jæni,15,j æ n i,
85,1202-15,Pelymka Mansi,,"big",1202,1202,jæni,15,j æ n i,
86,1202-15,Konda Mansi,,"big",1202,1202,jæni,15,j æ n i,
87,1202-15,Tavda Mansi,,"big",1202,1202,jænu,15,j æ n u,
88,1202-15,Vakh Khanty,,"big",1202,1202,eɭɭə,15,e ɭː ə,
89,1202-15,Verkhne-Kalymsk Khanty,,"big",1202,1202,eɭə,15,e ɭ ə,
90,1202-15,Vasjugan Khanty,,"big",1202,1202,eɭɭə,15,e ɭː ə,
91,1202-15,Vartovskoje Khanty,,"big",1202,1202,eɭə,15,e ɭ ə,
92,1202-15,Likrisovskoje Khanty,,"big",1202,1202,eɭə,15,e ɭ ə,
93,1202-15,Malyj Jugan Khanty,,"big",1202,1202,enɬ,15,e n ɬ,
94,1202-15,Tremjugan Khanty,,"big",1202,1202,enɬ,15,e n ɬ,
95,1202-15,Jugan Khanty,,"big",1202,1202,entɬ,15,e n t ɬ,
96,1202-15,Upper Demjanka Khanty,,"big",1202,1202,eːnə,15,eː n ə,
97,1202-15,Konda Khanty,,"big",1202,1202,eːnə,15,eː n ə,
98,1202-16,Nizjam Khanty,,"big",1202,1202,uːnə,16,uː n ə,
99,1202-16,Sherkaly Khanty,,"big",1202,1202,uːnə,16,uː n ə,
100,1202-16,Kazym Khanty,,"big",1202,1202,wɵːn,16,w ɵː n,
101,1202-16,Synja Khanty,,"big",1202,1202,uːn,16,uː n,
102,937-17,North Mansi,,"bird",937,937,tɔwləŋuj,17,t ɔ w l ə ŋ u j,
103,937-17,Middle Lozva Mansi,,"bird",937,937,tɔuləŋuj,17,t ɔu l ə ŋ u j,
104,937-17,Lower Lozva Mansi,,"bird",937,937,uj,17,u j,
105,937-17,Pelymka Mansi,,"bird",937,937,wuj,17,w u j,
106,937-17,Konda Mansi,,"bird",937,937,wuj,17,w u j,
107,937-18,Tavda Mansi,,"bird",937,937,sosqol,18,s o s q o l,
108,937-17,Vakh Khanty,,"bird",937,937,waːjəɣ,17,w aː j ə ɣ,
109,937-17,Vasjugan Khanty,,"bird",937,937,waːjəɣ,17,w aː j ə ɣ,
110,937-17,Tremjugan Khanty,,"bird",937,937,toɣɬəŋwɔːjəɣ,17,t o ɣ ɬ ə ŋ w ɔː j ə ɣ,
111,937-17,Upper Demjanka Khanty,,"bird",937,937,toχtəŋwoːjə,17,t o χ t ə ŋ w oː j ə,
112,937-17,Sherkaly Khanty,,"bird",937,937,wɔːj,17,w ɔː j,
113,937-17,Kazym Khanty,,"bird",937,937,toχɬəŋwɔːj,17,t o χ ɬ ə ŋ w ɔː j,
114,1403-19,North Mansi,,"bite",1403,1403,puri,19,p u r i,
115,1403-19,Middle Lozva Mansi,,"bite",1403,1403,puri,19,p u r i,
116,1403-19,Lower Lozva Mansi,,"bite",1403,1403,puri,19,p u r i,
117,1403-19,Pelymka Mansi,,"bite",1403,1403,puri,19,p u r i,
118,1403-19,Konda Mansi,,"bite",1403,1403,pori,19,p o r i,
119,1403-19,Tavda Mansi,,"bite",1403,1403,pur,19,p u r,
