ID,Cognateset_ID,Language_ID,ISO639P3code,English_Gloss,Concepticon_ID,Parameter_ID,Form,Class,Segments,Comment
1,1209-59,Tasha_Tujia,,"I",1209,1209,ŋa²⁴,59,ŋ a ²⁴,
2,1209-59,Duogu_Tujia,,"I",1209,1209,ŋa²⁴,59,ŋ a ²⁴,
3,1209-59,Dianfang_Tujia,,"I",1209,1209,ŋa³⁵,59,ŋ a ³⁵,
4,1209-59,Boluo_Tujia,,"I",1209,1209,ŋo³³,59,ŋ o ³³,
5,1209-59,Tanxi_Tujia,,"I",1209,1209,ŋo³³,59,ŋ o ³³,
6,98-1,Tasha_Tujia,,"all",98,98,xu²⁴+ni⁵⁵,1,x u ²⁴ n i ⁵⁵,
7,98-1,Duogu_Tujia,,"all",98,98,xu²⁴+ni⁴⁴,1,x u ²⁴ n i ⁴⁴,
8,98-1,Dianfang_Tujia,,"all",98,98,xu³⁵+ni⁵⁵,1,x u ³⁵ n i ⁵⁵,
9,98-2,Boluo_Tujia,,"all",98,98,bu¹³+li⁵³,2,b u ¹³ l i ⁵³,
10,98-2,Tanxi_Tujia,,"all",98,98,bu¹³,2,b u ¹³,
11,646-3,Tasha_Tujia,,"ashes",646,646,pu²¹+ʨʰi²⁴,3,p u ²¹ tɕʰ i ²⁴,
12,646-3,Duogu_Tujia,,"ashes",646,646,pu²¹+ʦʰi⁵³,3,p u ²¹ tsʰ i ⁵³,
13,646-3,Dianfang_Tujia,,"ashes",646,646,pu²¹+ʦʰi³⁵,3,p u ²¹ tsʰ i ³⁵,
14,646-3,Boluo_Tujia,,"ashes",646,646,mu²¹+ʦʰi⁵³,3,m u ²¹ tsʰ i ⁵³,
15,646-3,Tanxi_Tujia,,"ashes",646,646,mu¹³+ʦʰi⁵⁵,3,m u ¹³ tsʰ i ⁵⁵,
16,1251-5,Tasha_Tujia,,"belly",1251,1251,mɤ²¹+ʦʰi²¹+kʰɤ⁵⁵,5,m ɤ ²¹ tsʰ i ²¹ kʰ ɤ ⁵⁵,
17,1251-5,Duogu_Tujia,,"belly",1251,1251,mɨe²¹,5,m ɨ e ²¹,
18,1251-5,Dianfang_Tujia,,"belly",1251,1251,mɨe²¹,5,m ɨ e ²¹,
19,1251-5,Boluo_Tujia,,"belly",1251,1251,mɨe²¹+ʨi⁵³,5,m ɨ e ²¹ tɕ i ⁵³,
20,1251-5,Tanxi_Tujia,,"belly",1251,1251,mɨe¹³+ʨi⁵⁵,5,m ɨ e ¹³ tɕ i ⁵⁵,
21,1202-6,Tasha_Tujia,,"big",1202,1202,ʦʰi²¹,6,tsʰ i ²¹,
22,1202-6,Duogu_Tujia,,"big",1202,1202,ʦʰi⁵³,6,tsʰ i ⁵³,
23,1202-6,Dianfang_Tujia,,"big",1202,1202,ʦʰi⁵⁵,6,tsʰ i ⁵⁵,
24,1202-6,Boluo_Tujia,,"big",1202,1202,ʨʰi³³,6,tɕʰ i ³³,
25,1202-6,Tanxi_Tujia,,"big",1202,1202,ʨʰi³³,6,tɕʰ i ³³,
26,937-7,Tasha_Tujia,,"bird",937,937,ni̯ɛ²⁴+pi⁵⁵,7,n j ɛ ²⁴ p i ⁵⁵,
27,937-7,Duogu_Tujia,,"bird",937,937,nie²¹+pi⁵³,7,n i e ²¹ p i ⁵³,
28,937-7,Dianfang_Tujia,,"bird",937,937,ne³⁵+pi³⁵,7,n e ³⁵ p i ³⁵,
29,937-8,Boluo_Tujia,,"bird",937,937,kɨ²¹+ʦo²¹+nũ²¹,8,k ɨ ²¹ ts o ²¹ n ũ ∼ ²¹,
30,937-8,Tanxi_Tujia,,"bird",937,937,kɨ²¹+ʦo²¹,8,k ɨ ²¹ ts o ²¹,
31,1403-9,Tasha_Tujia,,"bite",1403,1403,ka²⁴,9,k a ²⁴,
32,1403-9,Duogu_Tujia,,"bite",1403,1403,ka²⁴,9,k a ²⁴,
33,1403-9,Boluo_Tujia,,"bite",1403,1403,go¹³,9,g o ¹³,
34,163-10,Tasha_Tujia,,"black",163,163,laŋ²⁴+ka⁵⁵,10,l a ŋ ²⁴ k a ⁵⁵,
35,163-10,Duogu_Tujia,,"black",163,163,lã⁴⁴+ka⁴⁴+tie²¹,10,l ã ∼ ⁴⁴ k a ⁴⁴ t i e ²¹,
36,163-10,Dianfang_Tujia,,"black",163,163,lã³⁵+ka⁵⁵,10,l ã ∼ ³⁵ k a ⁵⁵,
37,163-10,Boluo_Tujia,,"black",163,163,no²¹,10,n o ²¹,
38,163-10,Tanxi_Tujia,,"black",163,163,lo²¹,10,l o ²¹,
39,946-11,Tasha_Tujia,,"blood",946,946,mi̯ɛ²¹,11,m j ɛ ²¹,
40,946-11,Duogu_Tujia,,"blood",946,946,mie⁵³,11,m i e ⁵³,
41,946-11,Dianfang_Tujia,,"blood",946,946,me⁵⁵,11,m e ⁵⁵,
42,946-11,Boluo_Tujia,,"blood",946,946,mie²¹+mie²¹,11,m i e ²¹ m i e ²¹,
43,946-11,Tanxi_Tujia,,"blood",946,946,me²¹+me²¹,11,m e ²¹ m e ²¹,
44,1394-12,Tasha_Tujia,,"bone",1394,1394,lu⁵⁵+ka⁵⁵,12,l u ⁵⁵ k a ⁵⁵,
45,1394-12,Duogu_Tujia,,"bone",1394,1394,lu⁴⁴+ka⁴⁴,12,l u ⁴⁴ k a ⁴⁴,
46,1394-12,Dianfang_Tujia,,"bone",1394,1394,lu⁵⁵+ka⁵⁵,12,l u ⁵⁵ k a ⁵⁵,
47,1394-13,Boluo_Tujia,,"bone",1394,1394,kʰa²¹+kʰɨe⁵³,13,kʰ a ²¹ kʰ ɨ e ⁵³,
48,1394-13,Tanxi_Tujia,,"bone",1394,1394,kʰa²¹+kɨ²¹,13,kʰ a ²¹ k ɨ ²¹,
